,eslint/eslint,prettier/prettier,standard/standard
2019-12-07,0,0,0
2019-12-08,0,0,2
2019-12-09,1,1,0
2019-12-10,0,1,0
2019-12-11,0,0,0
2019-12-12,0,0,0
2019-12-13,0,0,0
2019-12-14,1,1,0
2019-12-15,0,0,0
2019-12-16,0,1,0
2019-12-17,1,0,0
2019-12-18,1,0,0
2019-12-19,2,1,0
2019-12-20,18,0,0
2019-12-21,0,0,0
2019-12-22,1,0,0
2019-12-23,8,3,0
2019-12-24,0,0,0
2019-12-25,1,0,0
2019-12-26,0,0,0
2019-12-27,0,0,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,0,1,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,1,1,0
2020-01-03,1,0,0
2020-01-04,1,0,0
2020-01-05,0,2,0
2020-01-06,2,4,0
2020-01-07,3,1,0
2020-01-08,0,6,0
2020-01-09,5,11,0
2020-01-10,0,6,0
2020-01-11,0,0,0
2020-01-12,0,1,0
2020-01-13,0,14,0
2020-01-14,0,14,0
2020-01-15,2,10,0
2020-01-16,4,9,0
2020-01-17,15,2,0
2020-01-18,0,16,0
2020-01-19,0,1,0
2020-01-20,2,12,0
2020-01-21,0,5,0
2020-01-22,1,3,0
2020-01-23,0,6,0
2020-01-24,0,0,0
2020-01-25,0,3,0
2020-01-26,0,0,0
2020-01-27,4,0,0
2020-01-28,3,6,0
2020-01-29,1,9,0
2020-01-30,2,4,0
2020-01-31,0,6,0
2020-02-01,4,2,0
2020-02-02,0,1,0
2020-02-03,3,4,0
2020-02-04,5,1,0
2020-02-05,4,0,0
2020-02-06,1,1,0
2020-02-07,1,0,0
2020-02-08,0,0,0
2020-02-09,1,0,0
2020-02-10,0,1,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,5,0
2020-02-14,9,8,1
2020-02-15,0,0,0
2020-02-16,0,1,0
2020-02-17,2,6,0
2020-02-18,0,5,0
2020-02-19,1,1,0
2020-02-20,0,1,0
2020-02-21,1,0,0
2020-02-22,0,0,0
2020-02-23,0,1,0
2020-02-24,0,6,0
2020-02-25,4,6,0
2020-02-26,1,1,0
2020-02-27,2,5,0
2020-02-28,13,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,2,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,4,0
2020-03-06,1,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,3,1,0
2020-03-10,3,4,0
2020-03-11,0,2,0
2020-03-12,1,0,0
2020-03-13,0,0,0
2020-03-14,0,0,5
2020-03-15,0,1,4
2020-03-16,0,2,0
2020-03-17,5,3,0
2020-03-18,3,1,0
2020-03-19,0,1,0
2020-03-20,2,2,0
2020-03-21,3,15,1
2020-03-22,0,5,0
2020-03-23,4,12,0
2020-03-24,2,5,0
2020-03-25,4,1,0
2020-03-26,2,2,1
2020-03-27,4,1,1
2020-03-28,9,2,0
2020-03-29,0,0,0
2020-03-30,0,1,0
2020-03-31,3,4,0
2020-04-01,4,5,0
2020-04-02,0,2,0
2020-04-03,3,2,0
2020-04-04,3,1,0
2020-04-05,0,6,0
2020-04-06,3,5,0
2020-04-07,4,4,0
2020-04-08,2,3,0
2020-04-09,0,2,0
2020-04-10,0,10,0
2020-04-11,0,10,0
2020-04-12,0,2,0
2020-04-13,1,3,3
2020-04-14,0,2,0
2020-04-15,0,5,0
2020-04-16,1,1,0
2020-04-17,0,3,0
2020-04-18,1,2,0
2020-04-19,0,4,0
2020-04-20,0,2,2
2020-04-21,0,10,0
2020-04-22,1,0,0
2020-04-23,8,4,0
2020-04-24,9,3,0
2020-04-25,0,6,0
2020-04-26,0,1,2
2020-04-27,0,2,0
2020-04-28,0,0,0
2020-04-29,0,1,0
2020-04-30,0,2,0
2020-05-01,1,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,1,0
2020-05-05,0,0,0
2020-05-06,0,6,1
2020-05-07,2,6,0
2020-05-08,6,10,0
2020-05-09,0,0,0
2020-05-10,0,1,0
2020-05-11,3,10,2
2020-05-12,1,4,0
2020-05-13,0,0,0
2020-05-14,2,3,0
2020-05-15,1,2,0
2020-05-16,0,0,0
2020-05-17,1,0,0
2020-05-18,0,5,0
2020-05-19,2,2,0
2020-05-20,7,2,0
2020-05-21,0,6,0
2020-05-22,7,2,0
2020-05-23,6,1,0
2020-05-24,0,3,0
2020-05-25,0,7,0
2020-05-26,0,4,0
2020-05-27,1,5,0
2020-05-28,1,1,2
2020-05-29,0,5,0
2020-05-30,1,0,0
2020-05-31,1,1,0
2020-06-01,3,2,0
2020-06-02,0,1,0
2020-06-03,0,5,0
2020-06-04,3,2,0
2020-06-05,8,3,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,3,2,0
2020-06-09,1,3,0
2020-06-10,0,2,0
2020-06-11,5,1,0
2020-06-12,0,1,0
2020-06-13,5,0,0
2020-06-14,0,1,0
2020-06-15,1,1,0
2020-06-16,1,0,0
2020-06-17,1,6,1
2020-06-18,0,5,0
2020-06-19,7,4,0
2020-06-20,0,0,0
2020-06-21,0,1,0
2020-06-22,0,2,0
2020-06-23,3,2,0
2020-06-24,0,6,0
2020-06-25,3,1,0
2020-06-26,1,1,0
2020-06-27,0,0,0
2020-06-28,0,1,0
2020-06-29,2,2,0
2020-06-30,2,2,0
2020-07-01,2,4,0
2020-07-02,0,5,0
2020-07-03,10,1,0
2020-07-04,1,1,0
2020-07-05,0,0,0
2020-07-06,0,3,0
2020-07-07,6,0,0
2020-07-08,0,0,0
2020-07-09,2,0,4
2020-07-10,0,0,0
2020-07-11,3,3,0
2020-07-12,0,1,0
2020-07-13,2,2,0
2020-07-14,2,10,0
2020-07-15,0,2,0
2020-07-16,0,1,0
2020-07-17,1,3,0
2020-07-18,7,0,0
2020-07-19,0,1,1
2020-07-20,0,6,0
2020-07-21,1,1,0
2020-07-22,1,0,0
2020-07-23,0,2,0
2020-07-24,0,4,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,2,0
2020-07-28,0,3,0
2020-07-29,1,0,0
2020-07-30,1,0,0
2020-07-31,7,1,0
2020-08-01,0,3,0
2020-08-02,3,0,0
2020-08-03,1,1,0
2020-08-04,2,2,0
2020-08-05,1,2,0
2020-08-06,1,4,0
2020-08-07,0,1,0
2020-08-08,0,1,0
2020-08-09,0,2,0
2020-08-10,0,4,0
2020-08-11,2,3,0
2020-08-12,0,0,0
2020-08-13,2,0,0
2020-08-14,7,1,0
2020-08-15,0,1,0
2020-08-16,0,1,0
2020-08-17,0,0,0
2020-08-18,0,3,0
2020-08-19,3,5,0
2020-08-20,1,1,0
2020-08-21,1,13,0
2020-08-22,2,4,0
2020-08-23,0,0,0
2020-08-24,2,6,0
2020-08-25,1,6,0
2020-08-26,1,7,0
2020-08-27,3,1,0
2020-08-28,0,7,0
2020-08-29,6,0,1
2020-08-30,0,2,0
2020-08-31,5,0,0
2020-09-01,6,9,0
2020-09-02,1,1,0
2020-09-03,0,0,0
2020-09-04,1,2,0
2020-09-05,0,0,0
2020-09-06,3,0,2
2020-09-07,1,2,0
2020-09-08,0,1,0
2020-09-09,1,0,0
2020-09-10,3,0,0
2020-09-11,1,4,0
2020-09-12,7,0,0
2020-09-13,0,0,0
2020-09-14,0,2,0
2020-09-15,0,4,0
2020-09-16,0,8,0
2020-09-17,0,1,0
2020-09-18,0,1,0
2020-09-19,0,0,0
2020-09-20,1,0,0
2020-09-21,1,0,0
2020-09-22,1,0,0
2020-09-23,1,1,0
2020-09-24,1,1,0
2020-09-25,0,0,1
2020-09-26,9,0,0
2020-09-27,0,2,0
2020-09-28,0,3,0
2020-09-29,0,0,0
2020-09-30,0,1,0
2020-10-01,2,0,1
2020-10-02,0,1,0
2020-10-03,1,0,1
2020-10-04,0,1,0
2020-10-05,0,0,0
2020-10-06,4,3,0
2020-10-07,2,1,0
2020-10-08,0,5,0
2020-10-09,6,0,0
2020-10-10,0,0,0
2020-10-11,0,0,0
2020-10-12,0,3,0
2020-10-13,0,5,0
2020-10-14,0,0,0
2020-10-15,0,3,0
2020-10-16,1,3,0
2020-10-17,0,0,0
2020-10-18,0,1,0
2020-10-19,2,0,0
2020-10-20,2,3,0
2020-10-21,0,0,4
2020-10-22,8,2,21
2020-10-23,8,5,3
2020-10-24,6,0,0
2020-10-25,0,0,0
2020-10-26,0,4,0
2020-10-27,4,0,0
2020-10-28,0,1,16
2020-10-29,0,1,31
2020-10-30,1,4,9
2020-10-31,1,5,2
2020-11-01,0,0,0
2020-11-02,1,3,0
2020-11-03,0,1,0
2020-11-04,0,4,1
2020-11-05,0,11,2
2020-11-06,0,2,0
2020-11-07,4,0,0
2020-11-08,0,0,0
2020-11-09,0,3,1
2020-11-10,0,3,6
2020-11-11,0,2,10
2020-11-12,0,1,1
2020-11-13,1,6,0
2020-11-14,0,4,0
2020-11-15,0,3,0
2020-11-16,0,4,0
2020-11-17,0,1,2
2020-11-18,4,7,5
2020-11-19,2,8,0
2020-11-20,5,10,1
2020-11-21,0,4,4
2020-11-22,0,1,0
2020-11-23,0,7,3
2020-11-24,1,5,0
2020-11-25,0,6,0
2020-11-26,0,5,2
2020-11-27,0,1,0
2020-11-28,0,7,0
2020-11-29,0,0,0
2020-11-30,0,5,0
2020-12-01,0,0,0
2020-12-02,0,3,0
2020-12-03,0,0,0
2020-12-04,0,0,0
2020-12-05,8,0,1
2020-12-06,0,0,1
2020-12-07,0,3,0
2020-12-08,0,2,1
2020-12-09,0,0,0
2020-12-10,0,1,0
2020-12-11,0,2,0
2020-12-12,1,2,0
2020-12-13,0,0,0
2020-12-14,1,1,0
2020-12-15,0,8,0
2020-12-16,0,4,0
2020-12-17,0,10,0
2020-12-18,10,3,0
2020-12-19,0,0,0
2020-12-20,0,0,0
2020-12-21,0,3,0
2020-12-22,0,0,0
2020-12-23,0,0,0
2020-12-24,0,1,0
2020-12-25,1,0,0
2020-12-26,0,0,0
2020-12-27,1,0,0
2020-12-28,1,1,0
