,matteocrippa/awesome-swift,vsouza/awesome-ios,raywenderlich/swift-style-guide
2017-06-14,0,1,0
2017-06-15,0,0,0
2017-06-16,0,1,0
2017-06-17,0,0,0
2017-06-18,0,0,0
2017-06-19,6,3,0
2017-06-20,0,0,0
2017-06-21,4,3,0
2017-06-22,7,2,0
2017-06-23,4,7,0
2017-06-24,2,1,0
2017-06-25,0,1,0
2017-06-26,0,3,0
2017-06-27,6,7,0
2017-06-28,0,21,0
2017-06-29,0,5,0
2017-06-30,0,2,0
2017-07-01,0,2,0
2017-07-02,3,6,0
2017-07-03,0,2,0
2017-07-04,0,3,0
2017-07-05,10,9,0
2017-07-06,22,4,0
2017-07-07,3,2,0
2017-07-08,0,1,0
2017-07-09,3,8,0
