,d3/d3,highcharts/highcharts,plotly/plotly.js
2023-05-27,0,1,0
2023-05-28,0,0,0
2023-05-29,0,4,4
2023-05-30,0,19,6
2023-05-31,0,18,8
2023-06-01,0,11,7
2023-06-02,0,13,7
2023-06-03,2,2,3
2023-06-04,0,0,0
2023-06-05,0,23,6
2023-06-06,0,16,8
2023-06-07,0,31,6
2023-06-08,18,7,2
2023-06-09,18,3,5
2023-06-10,7,1,0
2023-06-11,6,1,0
2023-06-12,6,9,2
2023-06-13,3,12,0
2023-06-14,9,16,0
2023-06-15,7,34,0
2023-06-16,8,33,0
2023-06-17,6,1,0
2023-06-18,2,1,0
