,apache/tomcat,apache/struts,spring-projects/spring-framework
2023-08-18,0,12,17
2023-08-19,0,9,3
2023-08-20,0,11,2
2023-08-21,3,16,18
2023-08-22,11,14,19
2023-08-23,4,2,27
2023-08-24,2,0,8
2023-08-25,1,0,20
2023-08-26,0,0,31
2023-08-27,0,0,10
2023-08-28,0,0,16
2023-08-29,0,2,8
2023-08-30,0,13,5
2023-08-31,2,4,4
2023-09-01,3,4,6
2023-09-02,0,3,11
2023-09-03,0,0,3
2023-09-04,1,0,6
2023-09-05,6,0,7
2023-09-06,9,0,9
2023-09-07,2,0,20
2023-09-08,8,0,36
2023-09-09,0,0,0
2023-09-10,0,0,10
2023-09-11,11,8,20
2023-09-12,3,0,9
2023-09-13,9,0,42
2023-09-14,7,0,8
2023-09-15,9,0,18
2023-09-16,5,0,7
2023-09-17,0,0,0
2023-09-18,3,3,8
2023-09-19,6,0,9
2023-09-20,8,0,12
2023-09-21,10,0,0
2023-09-22,10,0,12
2023-09-23,0,0,5
2023-09-24,0,0,0
2023-09-25,4,0,9
2023-09-26,6,15,9
2023-09-27,4,2,13
2023-09-28,1,3,8
2023-09-29,5,0,20
2023-09-30,0,2,1
2023-10-01,0,0,2
2023-10-02,8,0,8
2023-10-03,3,0,6
2023-10-04,1,2,10
2023-10-05,2,5,6
2023-10-06,8,3,0
2023-10-07,0,0,0
2023-10-08,0,0,5
2023-10-09,11,3,4
2023-10-10,5,0,33
2023-10-11,2,5,29
2023-10-12,7,1,11
2023-10-13,0,4,8
2023-10-14,1,0,4
2023-10-15,1,18,7
2023-10-16,0,2,16
2023-10-17,5,2,17
2023-10-18,4,1,6
2023-10-19,8,0,8
2023-10-20,2,0,7
2023-10-21,0,0,1
2023-10-22,0,0,6
2023-10-23,5,2,12
2023-10-24,32,2,30
2023-10-25,5,3,22
2023-10-26,3,0,1
2023-10-27,2,0,3
2023-10-28,1,0,3
2023-10-29,0,0,4
2023-10-30,2,3,5
2023-10-31,3,0,2
2023-11-01,6,0,4
2023-11-02,10,0,12
2023-11-03,2,0,2
2023-11-04,0,0,3
2023-11-05,0,6,0
2023-11-06,6,2,6
2023-11-07,5,0,15
2023-11-08,14,0,9
2023-11-09,5,0,16
2023-11-10,4,0,8
2023-11-11,0,0,1
2023-11-12,0,5,0
2023-11-13,1,8,6
2023-11-14,2,12,11
2023-11-15,2,2,21
2023-11-16,0,1,9
2023-11-17,2,5,0
2023-11-18,0,0,0
2023-11-19,0,0,4
2023-11-20,3,0,11
2023-11-21,1,0,11
2023-11-22,0,2,8
2023-11-23,2,1,8
2023-11-24,8,8,13
2023-11-25,0,0,6
2023-11-26,0,6,4
2023-11-27,5,0,7
2023-11-28,0,0,6
2023-11-29,2,0,6
2023-11-30,1,0,17
2023-12-01,2,0,6
2023-12-02,0,0,6
2023-12-03,0,2,2
2023-12-04,15,3,11
2023-12-05,5,4,11
2023-12-06,7,0,29
2023-12-07,6,0,5
2023-12-08,4,0,12
2023-12-09,1,0,7
2023-12-10,2,1,2
2023-12-11,3,3,12
2023-12-12,4,5,22
2023-12-13,2,0,10
2023-12-14,3,0,3
2023-12-15,7,2,5
2023-12-16,0,0,2
2023-12-17,0,6,0
2023-12-18,1,5,13
2023-12-19,1,1,9
2023-12-20,1,0,6
2023-12-21,2,0,13
2023-12-22,3,0,10
2023-12-23,0,0,1
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,4
2023-12-27,0,5,6
2023-12-28,1,0,30
2023-12-29,4,3,1
2023-12-30,0,3,4
2023-12-31,0,0,3
2024-01-01,1,7,5
2024-01-02,5,5,8
2024-01-03,17,12,8
2024-01-04,11,2,5
2024-01-05,2,5,22
2024-01-06,0,5,5
2024-01-07,0,4,4
2024-01-08,12,3,11
2024-01-09,1,14,12
2024-01-10,4,0,15
2024-01-11,2,0,2
2024-01-12,2,0,13
2024-01-13,0,0,2
2024-01-14,0,3,3
2024-01-15,7,3,4
2024-01-16,3,1,5
2024-01-17,2,3,11
2024-01-18,4,6,10
2024-01-19,1,5,11
2024-01-20,0,0,6
2024-01-21,0,2,2
2024-01-22,3,5,3
2024-01-23,2,0,11
2024-01-24,5,5,12
2024-01-25,2,0,1
2024-01-26,2,7,17
2024-01-27,0,7,5
2024-01-28,0,1,13
2024-01-29,1,1,16
2024-01-30,1,0,8
2024-01-31,1,0,8
2024-02-01,3,0,14
2024-02-02,6,4,7
2024-02-03,4,2,1
2024-02-04,4,0,1
2024-02-05,6,1,5
2024-02-06,5,0,12
2024-02-07,1,0,7
2024-02-08,14,0,4
2024-02-09,1,0,2
2024-02-10,0,1,9
2024-02-11,0,0,6
2024-02-12,10,2,9
2024-02-13,16,1,17
2024-02-14,2,4,7
2024-02-15,2,0,27
2024-02-16,3,2,25
2024-02-17,0,1,4
2024-02-18,0,1,1
2024-02-19,2,4,9
2024-02-20,6,0,17
2024-02-21,2,1,20
2024-02-22,1,0,10
2024-02-23,3,0,18
2024-02-24,0,0,7
2024-02-25,0,0,4
2024-02-26,2,1,6
2024-02-27,1,0,3
2024-02-28,1,0,19
2024-02-29,4,0,11
2024-03-01,2,0,9
2024-03-02,1,0,5
2024-03-03,0,0,7
2024-03-04,2,0,14
2024-03-05,3,0,21
2024-03-06,1,3,12
2024-03-07,3,0,20
2024-03-08,2,0,18
2024-03-09,0,0,12
2024-03-10,0,0,8
2024-03-11,7,1,20
2024-03-12,6,0,25
2024-03-13,1,1,11
2024-03-14,1,1,17
2024-03-15,10,0,20
2024-03-16,0,0,3
2024-03-17,1,1,5
2024-03-18,3,0,17
2024-03-19,1,0,14
2024-03-20,0,0,14
2024-03-21,0,0,3
2024-03-22,5,0,15
2024-03-23,0,0,9
2024-03-24,0,1,0
2024-03-25,1,0,0
2024-03-26,1,0,0
2024-03-27,2,1,0
2024-03-28,5,0,0
2024-03-29,3,2,0
2024-03-30,0,4,0
2024-03-31,0,3,0
2024-04-01,0,0,0
2024-04-02,4,2,0
2024-04-03,2,0,0
2024-04-04,4,0,0
2024-04-05,1,0,0
2024-04-06,0,2,0
2024-04-07,2,6,0
2024-04-08,2,0,0
2024-04-09,3,3,0
2024-04-10,1,5,0
2024-04-11,3,6,0
2024-04-12,4,3,0
2024-04-13,0,0,0
2024-04-14,0,0,0
2024-04-15,4,0,0
2024-04-16,9,0,0
2024-04-17,3,0,0
2024-04-18,9,5,0
2024-04-19,9,3,0
2024-04-20,0,2,0
2024-04-21,0,0,0
2024-04-22,2,3,0
2024-04-23,5,0,0
2024-04-24,2,0,0
2024-04-25,3,1,0
2024-04-26,11,0,0
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,10,5,0
2024-04-30,1,0,0
2024-05-01,4,0,0
2024-05-02,5,0,0
2024-05-03,14,0,0
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,0,1,0
2024-05-07,2,0,0
2024-05-08,1,0,0
2024-05-09,0,0,0
2024-05-10,6,0,0
2024-05-11,0,2,0
2024-05-12,0,1,0
2024-05-13,0,7,0
2024-05-14,2,2,0
2024-05-15,1,0,0
2024-05-16,5,0,0
2024-05-17,1,0,0
2024-05-18,0,0,0
2024-05-19,0,0,0
2024-05-20,2,2,0
2024-05-21,3,0,0
2024-05-22,1,0,0
2024-05-23,1,0,0
2024-05-24,9,0,0
2024-05-25,0,0,0
2024-05-26,0,0,0
2024-05-27,1,0,0
2024-05-28,1,0,0
2024-05-29,1,0,0
2024-05-30,0,0,0
2024-05-31,7,0,0
2024-06-01,0,2,0
2024-06-02,1,3,0
2024-06-03,6,2,0
2024-06-04,0,0,0
2024-06-05,5,4,0
2024-06-06,2,1,0
2024-06-07,0,1,0
2024-06-08,0,0,0
2024-06-09,0,0,0
2024-06-10,2,4,0
2024-06-11,5,0,0
2024-06-12,6,0,0
2024-06-13,6,0,0
2024-06-14,12,0,0
2024-06-15,0,0,0
2024-06-16,0,0,0
2024-06-17,0,0,0
2024-06-18,4,2,0
2024-06-19,0,0,0
2024-06-20,4,0,0
2024-06-21,2,4,0
2024-06-22,0,0,0
2024-06-23,1,0,0
2024-06-24,7,5,0
2024-06-25,8,0,0
2024-06-26,21,0,0
2024-06-27,12,0,0
2024-06-28,15,0,0
2024-06-29,0,0,0
2024-06-30,0,0,0
2024-07-01,1,0,0
2024-07-02,2,1,0
2024-07-03,1,0,0
2024-07-04,5,0,0
2024-07-05,3,1,0
2024-07-06,0,0,0
2024-07-07,0,0,0
2024-07-08,4,13,0
2024-07-09,0,0,0
2024-07-10,2,0,0
2024-07-11,2,0,0
2024-07-12,0,2,0
2024-07-13,0,11,0
2024-07-14,0,3,0
2024-07-15,0,4,0
2024-07-16,5,0,0
2024-07-17,2,0,0
2024-07-18,1,0,0
2024-07-19,9,0,0
2024-07-20,1,2,0
2024-07-21,0,0,0
2024-07-22,7,0,0
2024-07-23,6,0,0
2024-07-24,5,0,0
2024-07-25,2,1,0
2024-07-26,1,0,0
2024-07-27,2,0,0
2024-07-28,0,0,0
2024-07-29,5,0,0
2024-07-30,2,0,0
2024-07-31,2,1,0
2024-08-01,0,1,0
2024-08-02,4,0,0
2024-08-03,0,0,0
2024-08-04,0,0,0
2024-08-05,2,5,0
2024-08-06,9,0,0
2024-08-07,3,0,0
2024-08-08,1,0,0
2024-08-09,11,1,0
2024-08-10,0,1,0
2024-08-11,0,0,0
2024-08-12,3,6,0
2024-08-13,1,2,0
2024-08-14,1,0,0
2024-08-15,13,0,0
2024-08-16,2,0,0
2024-08-17,0,0,0
2024-08-18,0,0,0
2024-08-19,0,4,0
2024-08-20,7,0,0
2024-08-21,0,0,0
2024-08-22,2,0,0
2024-08-23,1,0,0
2024-08-24,0,0,0
2024-08-25,0,0,0
2024-08-26,0,0,0
2024-08-27,0,0,0
2024-08-28,8,0,0
2024-08-29,7,0,0
2024-08-30,4,0,0
2024-08-31,0,0,0
2024-09-01,1,0,0
2024-09-02,3,5,0
2024-09-03,5,1,0
2024-09-04,2,0,0
2024-09-05,3,0,0
2024-09-06,10,1,0
2024-09-07,0,0,0
2024-09-08,0,0,0
2024-09-09,7,0,0
