,seleniumhq/selenium,scrapy/scrapy,microlinkhq/metascraper
2020-08-07,0,1,0
2020-08-08,0,0,0
2020-08-09,0,1,0
2020-08-10,1,3,4
2020-08-11,3,5,0
2020-08-12,3,5,0
2020-08-13,1,6,0
2020-08-14,1,2,0
2020-08-15,1,0,0
2020-08-16,0,5,0
2020-08-17,7,9,0
2020-08-18,12,3,3
2020-08-19,4,4,0
2020-08-20,2,1,3
2020-08-21,5,7,0
2020-08-22,1,1,0
2020-08-23,0,0,0
2020-08-24,0,7,0
2020-08-25,0,9,5
2020-08-26,0,13,0
2020-08-27,1,6,1
2020-08-28,0,4,0
2020-08-29,0,7,0
2020-08-30,0,4,0
2020-08-31,0,3,3
