,django/django,pallets/flask,expressjs/express
2012-12-22,6.0,0,0
2012-12-23,0.0,0,0
2012-12-24,16.0,0,0
2012-12-25,1.0,0,1
2012-12-26,3.0,1,0
2012-12-27,3.0,4,0
2012-12-28,3.0,0,2
2012-12-29,27.0,0,1
2012-12-30,6.0,0,0
2012-12-31,6.0,2,0
2013-01-01,13.0,0,0
2013-01-02,6.0,0,0
2013-01-03,6.0,0,2
2013-01-04,1.0,1,0
2013-01-05,2.0,0,2
2013-01-06,3.0,0,1
2013-01-07,1.0,0,0
2013-01-08,7.0,0,0
2013-01-09,5.0,0,1
2013-01-10,4.0,0,0
2013-01-11,10.0,1,1
2013-01-12,6.0,0,0
2013-01-13,2.0,0,2
2013-01-14,6.0,1,1
2013-01-15,10.0,0,0
2013-01-16,3.0,0,0
2013-01-17,2.0,0,0
2013-01-18,4.0,0,2
2013-01-19,3.0,0,0
2013-01-20,3.0,0,0
2013-01-21,3.0,2,1
2013-01-22,5.0,1,0
2013-01-23,5.0,0,1
2013-01-24,6.0,1,11
2013-01-25,9.0,7,0
2013-01-26,7.0,0,1
2013-01-27,1.0,3,0
2013-01-28,4.0,1,0
2013-01-29,6.0,1,0
2013-01-30,7.0,0,0
2013-01-31,10.0,0,0
2013-02-01,10.0,0,0
2013-02-02,13.0,0,0
2013-02-03,5.0,0,0
2013-02-04,11.0,0,0
2013-02-05,2.0,0,0
2013-02-06,6.0,0,0
2013-02-07,9.0,0,1
2013-02-08,6.0,0,2
2013-02-09,4.0,0,0
2013-02-10,8.0,0,0
2013-02-11,3.0,1,0
2013-02-12,5.0,0,0
2013-02-13,4.0,0,5
2013-02-14,4.0,0,0
2013-02-15,10.0,0,0
2013-02-16,7.0,0,0
2013-02-17,1.0,1,0
2013-02-18,13.0,0,0
2013-02-19,16.0,0,1
2013-02-20,13.0,0,1
2013-02-21,2.0,0,0
2013-02-22,8.0,4,2
2013-02-23,67.0,0,0
2013-02-24,47.0,0,8
2013-02-25,14.0,0,0
2013-02-26,22.0,0,1
2013-02-27,16.0,0,0
2013-02-28,8.0,2,1
2013-03-01,6.0,0,1
2013-03-02,13.0,0,0
2013-03-03,9.0,0,0
2013-03-04,3.0,0,0
2013-03-05,1.0,0,0
2013-03-06,6.0,3,2
2013-03-07,10.0,0,1
2013-03-08,3.0,0,0
2013-03-09,6.0,0,0
2013-03-10,5.0,0,0
2013-03-11,49.0,0,1
2013-03-12,6.0,0,1
2013-03-13,14.0,0,3
2013-03-14,6.0,0,0
2013-03-15,9.0,1,0
2013-03-16,5.0,0,0
2013-03-17,13.0,1,0
2013-03-18,6.0,0,0
2013-03-19,10.0,0,0
2013-03-20,10.0,0,0
2013-03-21,2.0,4,0
2013-03-22,6.0,0,0
2013-03-23,11.0,0,0
2013-03-24,16.0,0,0
2013-03-25,7.0,1,0
2013-03-26,8.0,3,0
2013-03-27,8.0,0,0
2013-03-28,14.0,0,0
2013-03-29,13.0,0,0
2013-03-30,10.0,0,0
2013-03-31,4.0,0,1
2013-04-01,11.0,2,12
2013-04-02,2.0,0,2
2013-04-03,11.0,0,3
2013-04-04,7.0,2,0
2013-04-05,6.0,1,1
2013-04-06,2.0,0,0
2013-04-07,2.0,0,0
2013-04-08,6.0,1,0
2013-04-09,0.0,0,2
2013-04-10,3.0,0,0
2013-04-11,7.0,0,3
2013-04-12,17.0,0,6
2013-04-13,6.0,0,8
2013-04-14,1.0,1,0
2013-04-15,5.0,0,4
2013-04-16,2.0,0,1
2013-04-17,0.0,0,0
2013-04-18,6.0,0,0
2013-04-19,4.0,0,0
2013-04-20,4.0,0,0
2013-04-21,1.0,0,1
2013-04-22,3.0,0,1
2013-04-23,1.0,0,1
2013-04-24,6.0,1,0
2013-04-25,4.0,0,3
2013-04-26,1.0,0,1
2013-04-27,0.0,0,0
2013-04-28,4.0,0,0
2013-04-29,2.0,0,2
2013-04-30,3.0,0,2
2013-05-01,3.0,0,2
2013-05-02,1.0,0,0
2013-05-03,2.0,4,3
2013-05-04,4.0,0,0
2013-05-05,3.0,0,0
2013-05-06,3.0,0,0
2013-05-07,4.0,0,3
2013-05-08,10.0,0,0
2013-05-09,13.0,0,5
2013-05-10,12.0,0,2
2013-05-11,11.0,0,3
2013-05-12,2.0,0,1
2013-05-13,3.0,0,2
2013-05-14,5.0,15,0
2013-05-15,10.0,0,2
2013-05-16,12.0,0,0
2013-05-17,11.0,0,1
2013-05-18,69.0,20,0
2013-05-19,64.0,0,0
2013-05-20,15.0,2,1
2013-05-21,20.0,2,0
2013-05-22,12.0,21,2
2013-05-23,19.0,7,0
2013-05-24,10.0,0,0
2013-05-25,13.0,14,0
2013-05-26,0.0,5,1
2013-05-27,20.0,0,1
2013-05-28,6.0,0,0
2013-05-29,9.0,0,0
2013-05-30,18.0,19,0
2013-05-31,11.0,1,0
2013-06-01,8.0,1,0
2013-06-02,4.0,5,4
2013-06-03,5.0,1,3
2013-06-04,4.0,0,0
2013-06-05,5.0,5,3
