,google/closure-compiler,microsoft/typescript,rescript-lang/rescript-compiler
2021-06-13,0,2,2
2021-06-14,3,2,4
2021-06-15,5,3,1
2021-06-16,2,5,1
2021-06-17,3,6,0
2021-06-18,3,6,0
2021-06-19,0,1,0
2021-06-20,0,1,13
2021-06-21,6,7,0
2021-06-22,7,6,0
2021-06-23,7,7,0
2021-06-24,6,6,0
2021-06-25,3,9,0
2021-06-26,1,4,14
2021-06-27,0,4,0
2021-06-28,7,7,0
2021-06-29,5,6,0
2021-06-30,5,3,0
2021-07-01,6,3,4
2021-07-02,7,2,5
2021-07-03,1,2,3
2021-07-04,0,3,11
2021-07-05,0,1,0
2021-07-06,0,5,0
2021-07-07,9,3,0
2021-07-08,2,3,0
2021-07-09,9,1,0
2021-07-10,2,2,0
2021-07-11,0,2,0
2021-07-12,9,3,16
2021-07-13,13,5,0
2021-07-14,8,5,13
2021-07-15,17,2,0
2021-07-16,5,12,5
2021-07-17,1,4,1
2021-07-18,0,2,6
2021-07-19,5,3,0
2021-07-20,5,1,0
2021-07-21,5,3,0
2021-07-22,2,1,5
2021-07-23,3,3,3
2021-07-24,0,1,0
2021-07-25,1,1,0
2021-07-26,5,6,8
2021-07-27,11,1,1
2021-07-28,1,2,0
2021-07-29,2,6,0
2021-07-30,4,7,39
2021-07-31,0,1,0
2021-08-01,0,1,0
2021-08-02,6,10,2
2021-08-03,9,5,1
2021-08-04,7,7,0
2021-08-05,7,5,1
2021-08-06,5,9,0
2021-08-07,0,4,62
2021-08-08,0,5,0
2021-08-09,4,2,0
2021-08-10,21,6,1
2021-08-11,12,1,0
2021-08-12,7,2,2
2021-08-13,10,5,3
2021-08-14,2,2,0
2021-08-15,0,0,16
2021-08-16,3,4,2
2021-08-17,11,4,0
2021-08-18,5,2,0
2021-08-19,12,3,0
2021-08-20,7,4,21
2021-08-21,0,2,4
2021-08-22,0,0,20
2021-08-23,10,3,0
2021-08-24,13,5,0
2021-08-25,5,3,0
2021-08-26,7,4,0
2021-08-27,3,1,0
2021-08-28,0,2,34
2021-08-29,0,1,1
2021-08-30,3,4,0
2021-08-31,3,1,6
2021-09-01,0,4,7
2021-09-02,0,4,0
2021-09-03,3,5,23
2021-09-04,0,2,0
2021-09-05,0,0,20
2021-09-06,0,1,1
2021-09-07,3,3,0
2021-09-08,4,8,0
2021-09-09,3,5,7
2021-09-10,3,7,0
2021-09-11,1,4,0
2021-09-12,0,2,63
2021-09-13,5,4,0
2021-09-14,2,3,1
2021-09-15,5,6,8
2021-09-16,2,9,27
2021-09-17,2,6,0
2021-09-18,1,0,23
2021-09-19,0,0,0
2021-09-20,1,4,3
2021-09-21,2,8,0
2021-09-22,2,8,4
2021-09-23,3,5,0
2021-09-24,3,6,0
2021-09-25,0,3,0
2021-09-26,0,5,2
2021-09-27,2,13,0
2021-09-28,2,6,0
2021-09-29,1,8,4
2021-09-30,3,7,0
2021-10-01,7,10,20
2021-10-02,0,3,0
2021-10-03,0,2,4
2021-10-04,6,2,1
2021-10-05,2,5,7
2021-10-06,5,5,11
2021-10-07,2,5,0
2021-10-08,0,2,0
2021-10-09,0,1,0
2021-10-10,0,0,19
2021-10-11,0,2,9
2021-10-12,2,2,0
2021-10-13,4,3,4
2021-10-14,2,7,4
2021-10-15,3,6,10
2021-10-16,0,2,0
2021-10-17,0,1,0
2021-10-18,3,4,0
2021-10-19,1,4,11
2021-10-20,3,4,0
2021-10-21,1,5,0
2021-10-22,0,7,0
2021-10-23,0,2,0
2021-10-24,0,3,0
2021-10-25,3,4,0
2021-10-26,1,4,0
2021-10-27,2,3,0
2021-10-28,4,4,0
2021-10-29,2,10,0
2021-10-30,1,1,0
2021-10-31,0,0,0
2021-11-01,1,4,0
2021-11-02,5,9,0
2021-11-03,2,4,0
2021-11-04,3,2,0
2021-11-05,5,3,3
2021-11-06,0,0,2
2021-11-07,0,0,0
2021-11-08,3,2,0
2021-11-09,1,5,0
2021-11-10,0,0,0
2021-11-11,6,2,0
2021-11-12,2,2,0
2021-11-13,0,0,0
2021-11-14,0,0,0
2021-11-15,4,1,0
2021-11-16,3,2,0
2021-11-17,2,3,0
2021-11-18,3,3,0
2021-11-19,0,2,0
2021-11-20,1,1,0
2021-11-21,0,0,0
2021-11-22,3,0,0
2021-11-23,2,0,0
2021-11-24,2,2,0
2021-11-25,0,0,1
2021-11-26,0,0,0
2021-11-27,0,2,0
2021-11-28,0,0,0
2021-11-29,0,3,0
2021-11-30,3,3,0
2021-12-01,2,1,0
2021-12-02,5,2,0
2021-12-03,4,7,0
2021-12-04,0,2,1
2021-12-05,0,0,0
2021-12-06,5,5,0
2021-12-07,3,6,0
2021-12-08,5,4,0
2021-12-09,3,6,0
2021-12-10,2,1,0
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,1,3,0
2021-12-14,2,3,0
2021-12-15,1,2,0
2021-12-16,3,5,0
2021-12-17,0,2,0
2021-12-18,0,0,0
2021-12-19,0,1,0
2021-12-20,8,1,0
2021-12-21,4,1,0
2021-12-22,5,0,0
2021-12-23,2,2,0
2021-12-24,0,1,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,1,0
2021-12-28,0,0,0
2021-12-29,0,0,0
2021-12-30,0,0,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,0,1,0
2022-01-03,1,1,0
2022-01-04,7,3,0
2022-01-05,1,1,0
2022-01-06,2,3,0
2022-01-07,1,7,0
2022-01-08,0,1,0
2022-01-09,0,0,0
2022-01-10,8,1,0
2022-01-11,1,6,0
2022-01-12,2,2,0
2022-01-13,0,4,0
2022-01-14,3,4,0
2022-01-15,1,1,0
2022-01-16,0,1,0
2022-01-17,0,0,0
2022-01-18,1,8,0
2022-01-19,1,9,0
2022-01-20,3,9,0
2022-01-21,2,3,1
2022-01-22,0,1,0
2022-01-23,0,1,0
2022-01-24,3,1,0
2022-01-25,1,5,0
2022-01-26,3,7,0
2022-01-27,2,8,0
2022-01-28,5,8,0
2022-01-29,0,4,0
2022-01-30,0,3,0
2022-01-31,3,1,0
2022-02-01,4,8,0
2022-02-02,1,4,0
2022-02-03,3,4,0
2022-02-04,5,4,0
2022-02-05,0,3,0
2022-02-06,0,1,0
2022-02-07,5,4,0
2022-02-08,0,7,0
2022-02-09,1,4,0
2022-02-10,3,5,0
2022-02-11,2,9,0
2022-02-12,0,4,0
2022-02-13,1,1,0
2022-02-14,1,4,0
2022-02-15,4,12,0
2022-02-16,1,4,0
2022-02-17,2,11,0
2022-02-18,1,7,0
2022-02-19,0,1,0
2022-02-20,0,2,0
2022-02-21,1,1,0
2022-02-22,1,2,0
2022-02-23,3,2,0
2022-02-24,2,1,0
2022-02-25,1,6,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,9,4,0
2022-03-01,5,3,0
2022-03-02,4,4,0
2022-03-03,3,4,0
2022-03-04,7,8,0
2022-03-05,0,7,0
2022-03-06,0,0,0
2022-03-07,1,2,0
2022-03-08,6,2,0
2022-03-09,7,6,0
2022-03-10,4,1,0
2022-03-11,1,5,0
2022-03-12,0,2,0
2022-03-13,0,0,0
2022-03-14,4,4,0
2022-03-15,1,2,0
2022-03-16,0,7,0
2022-03-17,0,6,0
2022-03-18,3,0,0
2022-03-19,0,0,0
2022-03-20,1,1,0
2022-03-21,0,1,0
2022-03-22,3,7,0
2022-03-23,0,6,0
2022-03-24,1,4,0
2022-03-25,4,5,0
2022-03-26,0,1,0
2022-03-27,1,1,0
2022-03-28,1,4,0
2022-03-29,2,2,0
2022-03-30,2,8,0
2022-03-31,5,2,0
2022-04-01,1,5,0
2022-04-02,1,1,0
2022-04-03,0,1,0
2022-04-04,2,12,0
2022-04-05,3,13,0
2022-04-06,4,7,0
2022-04-07,2,7,0
2022-04-08,2,13,0
2022-04-09,1,2,0
2022-04-10,0,1,0
2022-04-11,1,6,0
2022-04-12,0,3,0
2022-04-13,2,3,0
2022-04-14,13,8,0
2022-04-15,3,3,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,5,2,0
2022-04-19,1,3,0
2022-04-20,0,2,0
2022-04-21,0,5,0
2022-04-22,4,5,0
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,0,4,0
2022-04-26,1,2,0
2022-04-27,6,7,0
2022-04-28,2,2,0
2022-04-29,1,4,0
2022-04-30,0,0,0
2022-05-01,0,2,0
2022-05-02,1,6,1
2022-05-03,6,3,1
2022-05-04,3,9,0
2022-05-05,10,8,1
2022-05-06,1,5,0
2022-05-07,1,3,2
2022-05-08,0,1,1
2022-05-09,4,13,0
2022-05-10,4,6,0
2022-05-11,6,5,0
2022-05-12,6,4,0
2022-05-13,3,5,4
2022-05-14,0,2,1
2022-05-15,0,1,0
2022-05-16,1,5,0
2022-05-17,3,2,1
2022-05-18,3,1,0
2022-05-19,4,4,0
2022-05-20,8,2,1
2022-05-21,1,0,1
2022-05-22,0,0,0
2022-05-23,1,2,0
2022-05-24,3,3,7
2022-05-25,1,3,1
2022-05-26,2,3,1
2022-05-27,4,5,0
2022-05-28,0,1,0
2022-05-29,1,2,0
2022-05-30,0,1,0
2022-05-31,0,8,9
2022-06-01,5,4,5
2022-06-02,3,5,2
2022-06-03,1,4,0
2022-06-04,0,1,0
2022-06-05,1,0,1
2022-06-06,5,6,1
2022-06-07,6,3,2
2022-06-08,5,6,10
2022-06-09,5,4,0
2022-06-10,2,6,1
2022-06-11,0,2,22
2022-06-12,0,1,1
2022-06-13,0,1,0
2022-06-14,2,6,4
2022-06-15,2,6,5
2022-06-16,1,4,0
2022-06-17,4,8,1
2022-06-18,1,1,1
2022-06-19,0,1,0
2022-06-20,0,3,8
2022-06-21,2,5,0
2022-06-22,3,2,16
2022-06-23,5,0,2
2022-06-24,4,3,5
2022-06-25,0,0,9
2022-06-26,0,1,11
2022-06-27,2,4,6
2022-06-28,1,3,1
2022-06-29,4,5,3
2022-06-30,5,3,5
2022-07-01,5,2,0
2022-07-02,3,1,6
2022-07-03,0,1,5
2022-07-04,0,1,10
2022-07-05,0,6,7
2022-07-06,2,14,3
2022-07-07,7,5,0
