,google/guava,apache/commons-io,apache/commons-lang
2016-07-26,2,0,0
2016-07-27,2,0,1
2016-07-28,2,0,0
2016-07-29,3,0,3
2016-07-30,1,0,0
2016-07-31,0,0,6
2016-08-01,1,0,0
2016-08-02,2,0,0
2016-08-03,1,0,0
2016-08-04,4,0,0
2016-08-05,2,0,0
2016-08-06,1,0,0
2016-08-07,0,0,0
2016-08-08,5,0,0
2016-08-09,4,0,0
2016-08-10,2,0,0
2016-08-11,5,0,0
2016-08-12,1,0,1
2016-08-13,0,0,0
2016-08-14,0,0,0
2016-08-15,11,0,0
2016-08-16,5,0,1
2016-08-17,4,1,0
