,spring-projects/spring-framework,apache/struts,apache/tomcat
2023-07-18,12,0,0
2023-07-19,14,0,0
2023-07-20,1,0,3
2023-07-21,8,7,0
2023-07-22,1,0,0
2023-07-23,0,0,0
2023-07-24,5,4,5
2023-07-25,8,0,1
2023-07-26,9,0,6
2023-07-27,5,0,4
2023-07-28,2,0,0
2023-07-29,0,0,0
2023-07-30,0,7,0
2023-07-31,17,5,0
2023-08-01,25,4,1
2023-08-02,15,0,8
2023-08-03,16,0,7
2023-08-04,21,0,11
2023-08-05,7,0,0
2023-08-06,9,0,2
2023-08-07,11,0,6
2023-08-08,8,0,12
2023-08-09,7,0,10
2023-08-10,3,0,9
2023-08-11,1,1,0
2023-08-12,14,0,0
2023-08-13,7,0,0
2023-08-14,11,0,3
2023-08-15,9,0,0
2023-08-16,25,1,5
2023-08-17,6,16,0
2023-08-18,17,12,0
2023-08-19,3,9,0
2023-08-20,2,11,0
2023-08-21,18,16,3
2023-08-22,19,14,11
2023-08-23,27,2,4
2023-08-24,8,0,2
2023-08-25,20,0,1
2023-08-26,31,0,0
2023-08-27,10,0,0
2023-08-28,16,0,0
2023-08-29,8,2,0
2023-08-30,5,13,0
2023-08-31,4,4,2
2023-09-01,6,4,3
2023-09-02,11,3,0
2023-09-03,3,0,0
2023-09-04,6,0,1
2023-09-05,7,0,6
2023-09-06,9,0,9
2023-09-07,20,0,2
2023-09-08,36,0,8
2023-09-09,0,0,0
2023-09-10,10,0,0
2023-09-11,20,8,11
2023-09-12,9,0,3
2023-09-13,42,0,9
2023-09-14,8,0,7
2023-09-15,18,0,9
2023-09-16,7,0,5
2023-09-17,0,0,0
2023-09-18,8,3,3
2023-09-19,9,0,6
2023-09-20,12,0,8
2023-09-21,0,0,10
2023-09-22,12,0,10
2023-09-23,5,0,0
2023-09-24,0,0,0
2023-09-25,9,0,4
2023-09-26,9,15,6
2023-09-27,13,2,4
2023-09-28,8,3,1
2023-09-29,20,0,5
2023-09-30,1,2,0
2023-10-01,2,0,0
2023-10-02,8,0,8
2023-10-03,6,0,3
2023-10-04,10,2,1
2023-10-05,6,5,2
2023-10-06,0,3,8
2023-10-07,0,0,0
2023-10-08,5,0,0
2023-10-09,4,3,11
2023-10-10,33,0,5
2023-10-11,29,5,2
2023-10-12,11,1,7
2023-10-13,8,4,0
2023-10-14,4,0,1
2023-10-15,7,18,1
2023-10-16,16,2,0
2023-10-17,17,2,5
2023-10-18,6,1,4
2023-10-19,8,0,8
2023-10-20,7,0,2
2023-10-21,1,0,0
2023-10-22,6,0,0
2023-10-23,12,2,5
2023-10-24,30,2,32
2023-10-25,22,3,5
2023-10-26,1,0,3
2023-10-27,3,0,2
2023-10-28,3,0,1
2023-10-29,4,0,0
2023-10-30,5,3,2
2023-10-31,2,0,3
2023-11-01,4,0,6
2023-11-02,12,0,10
2023-11-03,2,0,2
2023-11-04,3,0,0
2023-11-05,0,6,0
2023-11-06,6,2,6
2023-11-07,15,0,5
2023-11-08,9,0,14
2023-11-09,16,0,5
2023-11-10,8,0,4
2023-11-11,1,0,0
2023-11-12,0,5,0
2023-11-13,6,8,1
2023-11-14,11,12,2
2023-11-15,21,2,2
2023-11-16,9,1,0
2023-11-17,0,5,2
2023-11-18,0,0,0
2023-11-19,4,0,0
2023-11-20,11,0,3
2023-11-21,11,0,1
2023-11-22,8,2,0
2023-11-23,8,1,2
2023-11-24,13,8,8
2023-11-25,6,0,0
2023-11-26,4,6,0
2023-11-27,7,0,5
2023-11-28,6,0,0
2023-11-29,6,0,2
2023-11-30,17,0,1
2023-12-01,6,0,2
2023-12-02,6,0,0
2023-12-03,2,2,0
2023-12-04,11,3,15
2023-12-05,11,4,5
2023-12-06,29,0,7
2023-12-07,5,0,6
2023-12-08,12,0,4
2023-12-09,7,0,1
2023-12-10,2,1,2
2023-12-11,12,3,3
2023-12-12,22,5,4
2023-12-13,10,0,2
2023-12-14,3,0,3
2023-12-15,5,2,7
2023-12-16,2,0,0
2023-12-17,0,6,0
2023-12-18,13,5,1
2023-12-19,9,1,1
2023-12-20,6,0,1
2023-12-21,13,0,2
2023-12-22,10,0,3
2023-12-23,1,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,4,0,0
2023-12-27,6,5,0
2023-12-28,30,0,1
2023-12-29,1,3,4
2023-12-30,4,3,0
2023-12-31,3,0,0
2024-01-01,5,7,1
2024-01-02,8,5,5
2024-01-03,8,12,17
2024-01-04,5,2,11
2024-01-05,22,5,2
2024-01-06,5,5,0
2024-01-07,4,4,0
2024-01-08,11,3,12
2024-01-09,12,14,1
2024-01-10,15,0,4
2024-01-11,2,0,2
2024-01-12,13,0,2
2024-01-13,2,0,0
2024-01-14,3,3,0
2024-01-15,4,3,7
2024-01-16,5,1,3
2024-01-17,11,3,2
2024-01-18,10,6,4
2024-01-19,11,5,1
2024-01-20,6,0,0
2024-01-21,2,2,0
2024-01-22,3,5,3
2024-01-23,11,0,2
2024-01-24,12,5,5
2024-01-25,1,0,2
2024-01-26,17,7,2
2024-01-27,5,7,0
2024-01-28,13,1,0
2024-01-29,16,1,1
2024-01-30,8,0,1
2024-01-31,8,0,1
2024-02-01,14,0,3
2024-02-02,7,4,6
2024-02-03,1,2,4
2024-02-04,1,0,4
2024-02-05,5,1,6
2024-02-06,12,0,5
2024-02-07,7,0,1
2024-02-08,4,0,14
2024-02-09,2,0,1
2024-02-10,9,1,0
2024-02-11,6,0,0
2024-02-12,9,2,10
2024-02-13,17,1,16
2024-02-14,7,4,2
2024-02-15,27,0,2
2024-02-16,25,2,3
2024-02-17,4,1,0
2024-02-18,1,1,0
2024-02-19,9,4,2
2024-02-20,17,0,6
2024-02-21,20,1,2
2024-02-22,10,0,1
2024-02-23,18,0,3
2024-02-24,7,0,0
2024-02-25,4,0,0
2024-02-26,6,1,2
2024-02-27,3,0,1
2024-02-28,19,0,1
2024-02-29,11,0,4
2024-03-01,9,0,2
2024-03-02,5,0,1
2024-03-03,7,0,0
2024-03-04,14,0,2
2024-03-05,21,0,3
2024-03-06,12,3,1
2024-03-07,20,0,3
2024-03-08,18,0,2
2024-03-09,12,0,0
2024-03-10,8,0,0
2024-03-11,20,1,7
2024-03-12,25,0,6
2024-03-13,11,1,1
2024-03-14,17,1,1
2024-03-15,20,0,10
2024-03-16,3,0,0
2024-03-17,5,1,1
2024-03-18,17,0,3
2024-03-19,14,0,1
2024-03-20,14,0,0
2024-03-21,3,0,0
2024-03-22,15,0,5
2024-03-23,9,0,0
2024-03-24,0,1,0
2024-03-25,0,0,1
2024-03-26,0,0,1
2024-03-27,0,1,2
2024-03-28,0,0,5
2024-03-29,0,2,3
2024-03-30,0,4,0
2024-03-31,0,3,0
2024-04-01,0,0,0
2024-04-02,0,2,4
2024-04-03,0,0,2
2024-04-04,0,0,4
2024-04-05,0,0,1
2024-04-06,0,2,0
2024-04-07,0,6,2
2024-04-08,0,0,2
2024-04-09,0,3,3
2024-04-10,0,5,1
2024-04-11,0,6,3
2024-04-12,0,3,4
2024-04-13,0,0,0
2024-04-14,0,0,0
2024-04-15,0,0,4
2024-04-16,0,0,9
2024-04-17,0,0,3
2024-04-18,0,5,9
2024-04-19,0,3,9
2024-04-20,0,2,0
2024-04-21,0,0,0
2024-04-22,0,3,2
2024-04-23,0,0,5
2024-04-24,0,0,2
2024-04-25,0,1,3
2024-04-26,0,0,11
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,0,5,10
2024-04-30,0,0,1
2024-05-01,0,0,4
2024-05-02,0,0,5
2024-05-03,0,0,14
2024-05-04,0,0,0
2024-05-05,0,0,0
2024-05-06,0,1,0
2024-05-07,0,0,2
2024-05-08,0,0,1
2024-05-09,0,0,0
2024-05-10,0,0,6
2024-05-11,0,2,0
2024-05-12,0,1,0
2024-05-13,0,7,0
2024-05-14,0,2,2
2024-05-15,0,0,1
2024-05-16,0,0,5
2024-05-17,0,0,1
2024-05-18,0,0,0
2024-05-19,0,0,0
2024-05-20,0,2,2
2024-05-21,0,0,3
2024-05-22,0,0,1
2024-05-23,0,0,1
2024-05-24,0,0,9
2024-05-25,0,0,0
2024-05-26,0,0,0
2024-05-27,0,0,1
2024-05-28,0,0,1
2024-05-29,0,0,1
2024-05-30,0,0,0
2024-05-31,0,0,7
2024-06-01,0,2,0
2024-06-02,0,3,1
2024-06-03,0,2,6
2024-06-04,0,0,0
2024-06-05,0,4,5
2024-06-06,0,1,2
2024-06-07,0,1,0
2024-06-08,0,0,0
2024-06-09,0,0,0
2024-06-10,0,4,2
2024-06-11,0,0,5
2024-06-12,0,0,6
2024-06-13,0,0,6
2024-06-14,0,0,12
2024-06-15,0,0,0
2024-06-16,0,0,0
2024-06-17,0,0,0
2024-06-18,0,2,4
2024-06-19,0,0,0
2024-06-20,0,0,4
2024-06-21,0,4,2
2024-06-22,0,0,0
2024-06-23,0,0,1
2024-06-24,0,5,7
2024-06-25,0,0,8
2024-06-26,0,0,21
2024-06-27,0,0,12
2024-06-28,0,0,15
2024-06-29,0,0,0
2024-06-30,0,0,0
2024-07-01,0,0,1
2024-07-02,0,1,2
2024-07-03,0,0,1
2024-07-04,0,0,5
2024-07-05,0,1,3
2024-07-06,0,0,0
2024-07-07,0,0,0
2024-07-08,0,13,4
2024-07-09,0,0,0
2024-07-10,0,0,2
2024-07-11,0,0,2
2024-07-12,0,2,0
2024-07-13,0,11,0
2024-07-14,0,3,0
2024-07-15,0,4,0
2024-07-16,0,0,5
2024-07-17,0,0,2
2024-07-18,0,0,1
2024-07-19,0,0,9
2024-07-20,0,2,1
2024-07-21,0,0,0
2024-07-22,0,0,7
2024-07-23,0,0,6
2024-07-24,0,0,5
2024-07-25,0,1,2
2024-07-26,0,0,1
2024-07-27,0,0,2
2024-07-28,0,0,0
2024-07-29,0,0,5
2024-07-30,0,0,2
2024-07-31,0,1,2
2024-08-01,0,1,0
2024-08-02,0,0,4
2024-08-03,0,0,0
2024-08-04,0,0,0
2024-08-05,0,5,2
2024-08-06,0,0,9
2024-08-07,0,0,3
2024-08-08,0,0,1
2024-08-09,0,1,11
