,primer/css,twbs/bootstrap,zurb/foundation-sites
2018-04-26,7,1,1
2018-04-27,9,2,3
2018-04-28,0,0,1
2018-04-29,0,2,8
2018-04-30,10,3,6
2018-05-01,2,1,3
2018-05-02,1,0,6
2018-05-03,10,0,3
2018-05-04,13,0,2
2018-05-05,0,0,2
2018-05-06,0,0,2
2018-05-07,8,1,6
2018-05-08,3,0,0
2018-05-09,18,0,1
2018-05-10,8,0,0
2018-05-11,14,2,5
2018-05-12,0,0,5
2018-05-13,0,0,8
2018-05-14,4,0,4
2018-05-15,0,2,5
2018-05-16,0,0,5
2018-05-17,0,0,0
2018-05-18,2,1,5
2018-05-19,0,0,1
