,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2023-09-02,20,0,8
2023-09-03,8,0,2
2023-09-04,8,0,17
2023-09-05,44,0,31
2023-09-06,38,0,38
2023-09-07,41,0,66
2023-09-08,48,0,34
2023-09-09,12,0,8
2023-09-10,16,0,4
2023-09-11,31,0,37
2023-09-12,49,0,60
2023-09-13,49,0,54
2023-09-14,60,0,41
2023-09-15,45,0,53
2023-09-16,21,0,8
2023-09-17,14,0,8
2023-09-18,35,0,50
2023-09-19,40,0,62
2023-09-20,63,0,57
2023-09-21,41,0,57
2023-09-22,41,0,74
2023-09-23,19,0,11
2023-09-24,11,0,5
