,highcharts/highcharts,d3/d3,chartjs/chart.js
2016-02-22,1,4,0
2016-02-23,0,2,0
2016-02-24,1,2,0
2016-02-25,5,0,1
2016-02-26,10,3,0
2016-02-27,0,0,8
2016-02-28,1,2,37
2016-02-29,5,2,0
2016-03-01,6,1,0
2016-03-02,2,5,7
2016-03-03,1,1,0
2016-03-04,5,1,0
2016-03-05,0,0,0
2016-03-06,0,2,4
2016-03-07,7,0,1
2016-03-08,1,1,0
2016-03-09,12,0,0
2016-03-10,1,0,3
2016-03-11,0,1,4
2016-03-12,0,0,0
2016-03-13,0,0,10
2016-03-14,2,2,4
2016-03-15,1,1,0
2016-03-16,44,0,5
