,parcel-bundler/parcel,webpack/webpack,rollup/rollup
2020-07-12,4,1,0
2020-07-13,1,5,0
2020-07-14,0,3,0
2020-07-15,1,18,0
2020-07-16,0,3,0
2020-07-17,2,10,0
2020-07-18,3,0,7
2020-07-19,3,0,0
2020-07-20,0,11,0
2020-07-21,2,7,0
2020-07-22,0,8,3
2020-07-23,1,4,3
2020-07-24,0,2,0
2020-07-25,2,0,0
2020-07-26,0,0,0
2020-07-27,0,5,0
2020-07-28,0,8,1
2020-07-29,1,3,0
2020-07-30,1,8,0
2020-07-31,0,4,0
2020-08-01,0,4,0
2020-08-02,1,4,0
2020-08-03,2,20,0
2020-08-04,1,12,0
2020-08-05,0,9,0
2020-08-06,2,17,0
2020-08-07,0,17,3
2020-08-08,0,4,0
2020-08-09,0,2,0
2020-08-10,4,1,0
2020-08-11,0,5,0
2020-08-12,0,8,0
2020-08-13,2,5,4
2020-08-14,0,17,3
2020-08-15,2,2,5
2020-08-16,0,5,10
2020-08-17,2,10,0
2020-08-18,2,9,0
2020-08-19,0,20,3
2020-08-20,4,17,0
2020-08-21,1,2,0
2020-08-22,1,1,3
2020-08-23,2,2,0
2020-08-24,0,20,0
2020-08-25,4,8,0
2020-08-26,1,4,0
2020-08-27,0,7,3
2020-08-28,0,37,4
2020-08-29,0,3,3
2020-08-30,1,0,0
2020-08-31,0,1,0
2020-09-01,1,17,5
2020-09-02,1,5,0
2020-09-03,0,10,1
2020-09-04,0,1,3
2020-09-05,1,0,0
2020-09-06,0,0,0
2020-09-07,6,1,0
2020-09-08,0,5,2
2020-09-09,1,10,0
2020-09-10,1,3,0
2020-09-11,1,6,0
2020-09-12,0,0,0
2020-09-13,1,1,0
2020-09-14,0,2,0
2020-09-15,1,30,0
2020-09-16,1,7,5
2020-09-17,2,19,2
2020-09-18,4,17,2
2020-09-19,0,4,0
2020-09-20,0,10,0
2020-09-21,0,2,6
2020-09-22,0,0,1
2020-09-23,0,1,0
2020-09-24,1,10,3
2020-09-25,1,19,1
2020-09-26,0,6,0
2020-09-27,1,4,0
2020-09-28,0,18,0
2020-09-29,1,16,0
2020-09-30,2,12,0
2020-10-01,1,5,0
2020-10-02,1,4,0
2020-10-03,0,0,0
2020-10-04,1,0,0
2020-10-05,0,1,1
2020-10-06,3,11,0
2020-10-07,1,20,0
2020-10-08,0,11,4
2020-10-09,0,5,1
2020-10-10,0,14,1
2020-10-11,0,2,0
2020-10-12,4,9,1
2020-10-13,1,6,3
2020-10-14,0,3,0
2020-10-15,0,21,3
2020-10-16,0,11,3
2020-10-17,0,1,1
2020-10-18,0,0,0
2020-10-19,1,2,0
2020-10-20,1,7,0
2020-10-21,2,5,3
2020-10-22,0,10,0
2020-10-23,0,4,0
2020-10-24,1,1,0
2020-10-25,2,0,0
2020-10-26,1,6,0
2020-10-27,0,17,0
2020-10-28,2,18,0
2020-10-29,0,4,0
2020-10-30,3,11,0
2020-10-31,0,4,3
2020-11-01,0,3,7
2020-11-02,0,8,5
2020-11-03,0,11,0
2020-11-04,0,8,0
2020-11-05,1,2,0
2020-11-06,1,0,0
2020-11-07,0,4,0
2020-11-08,2,0,0
2020-11-09,0,1,0
2020-11-10,1,0,0
2020-11-11,1,9,0
2020-11-12,1,0,0
2020-11-13,1,0,0
2020-11-14,1,0,3
2020-11-15,0,0,0
2020-11-16,0,5,1
2020-11-17,0,2,0
2020-11-18,5,3,3
2020-11-19,1,3,0
2020-11-20,1,3,0
2020-11-21,3,0,0
2020-11-22,3,0,0
2020-11-23,2,3,0
2020-11-24,0,0,0
2020-11-25,0,4,0
2020-11-26,0,24,0
2020-11-27,0,0,0
2020-11-28,0,13,0
2020-11-29,0,0,5
2020-11-30,1,6,0
2020-12-01,1,0,1
2020-12-02,1,5,2
2020-12-03,1,5,3
2020-12-04,0,15,0
2020-12-05,1,3,0
2020-12-06,2,1,3
2020-12-07,3,14,0
2020-12-08,2,4,0
2020-12-09,1,1,0
2020-12-10,1,9,0
2020-12-11,0,9,0
2020-12-12,0,1,0
2020-12-13,1,0,0
2020-12-14,2,17,8
2020-12-15,2,14,0
2020-12-16,0,3,0
2020-12-17,1,11,0
2020-12-18,3,3,0
2020-12-19,1,1,0
2020-12-20,0,0,0
2020-12-21,0,0,0
2020-12-22,0,4,0
2020-12-23,3,4,0
2020-12-24,1,0,0
2020-12-25,1,0,0
2020-12-26,0,1,0
2020-12-27,0,0,0
2020-12-28,1,2,0
2020-12-29,3,4,0
2020-12-30,1,1,0
2020-12-31,4,0,0
2021-01-01,0,1,0
2021-01-02,4,0,0
2021-01-03,4,2,0
2021-01-04,3,17,0
2021-01-05,2,20,3
2021-01-06,1,12,3
2021-01-07,4,10,0
2021-01-08,2,6,0
2021-01-09,2,5,0
2021-01-10,2,5,0
2021-01-11,1,8,0
2021-01-12,2,5,0
2021-01-13,5,21,0
2021-01-14,3,3,0
2021-01-15,0,15,0
2021-01-16,2,1,3
2021-01-17,2,1,0
2021-01-18,1,12,0
2021-01-19,2,21,4
2021-01-20,1,13,3
2021-01-21,5,5,0
2021-01-22,3,5,3
2021-01-23,0,0,0
2021-01-24,0,1,0
2021-01-25,2,1,0
2021-01-26,1,8,3
2021-01-27,2,10,0
2021-01-28,2,4,3
2021-01-29,0,7,0
2021-01-30,0,2,0
2021-01-31,2,4,4
2021-02-01,2,18,4
2021-02-02,4,29,2
2021-02-03,4,8,0
2021-02-04,3,7,0
2021-02-05,1,15,3
2021-02-06,0,2,0
2021-02-07,0,7,0
2021-02-08,3,7,0
2021-02-09,2,7,0
2021-02-10,0,12,0
2021-02-11,6,9,0
2021-02-12,4,1,7
2021-02-13,3,6,0
2021-02-14,4,11,0
2021-02-15,0,3,0
2021-02-16,1,3,0
2021-02-17,1,2,0
2021-02-18,2,7,0
2021-02-19,3,2,0
2021-02-20,1,1,0
2021-02-21,1,6,0
2021-02-22,1,25,0
2021-02-23,1,9,4
2021-02-24,1,5,0
2021-02-25,1,0,0
2021-02-26,1,0,6
2021-02-27,0,0,0
2021-02-28,2,0,0
2021-03-01,1,7,0
2021-03-02,0,2,0
2021-03-03,1,1,0
2021-03-04,1,0,0
2021-03-05,3,1,0
2021-03-06,0,4,0
2021-03-07,1,1,0
2021-03-08,0,17,0
2021-03-09,1,9,4
2021-03-10,3,6,0
2021-03-11,0,20,3
2021-03-12,2,5,3
2021-03-13,1,0,0
2021-03-14,0,3,0
2021-03-15,1,20,0
2021-03-16,0,9,7
2021-03-17,1,5,0
2021-03-18,0,3,3
2021-03-19,0,13,3
2021-03-20,1,2,3
2021-03-21,1,0,0
2021-03-22,0,14,6
2021-03-23,1,5,0
2021-03-24,0,2,3
2021-03-25,0,3,2
2021-03-26,0,0,1
2021-03-27,0,0,3
2021-03-28,0,0,4
2021-03-29,1,4,7
2021-03-30,0,1,0
2021-03-31,0,6,0
2021-04-01,0,8,0
2021-04-02,1,0,0
2021-04-03,1,0,0
2021-04-04,0,2,0
2021-04-05,0,0,0
2021-04-06,1,10,0
2021-04-07,0,16,0
2021-04-08,1,4,0
2021-04-09,0,6,3
2021-04-10,0,0,3
2021-04-11,1,1,0
2021-04-12,2,25,0
2021-04-13,1,8,3
2021-04-14,1,25,2
2021-04-15,0,4,1
2021-04-16,1,2,0
2021-04-17,0,1,0
2021-04-18,0,2,0
2021-04-19,1,22,0
2021-04-20,0,24,0
2021-04-21,0,3,0
2021-04-22,0,11,0
2021-04-23,0,12,0
2021-04-24,0,0,0
2021-04-25,0,1,0
2021-04-26,1,1,0
2021-04-27,2,13,1
2021-04-28,1,18,0
2021-04-29,2,0,3
2021-04-30,0,14,0
2021-05-01,0,2,0
2021-05-02,0,0,0
2021-05-03,0,1,0
2021-05-04,1,9,3
2021-05-05,1,0,0
2021-05-06,2,2,0
2021-05-07,0,7,2
2021-05-08,0,1,0
2021-05-09,1,0,0
2021-05-10,1,25,0
2021-05-11,3,11,0
2021-05-12,2,6,0
2021-05-13,5,1,0
2021-05-14,3,0,2
2021-05-15,1,0,6
2021-05-16,1,0,0
2021-05-17,2,11,0
2021-05-18,2,8,0
2021-05-19,0,13,0
2021-05-20,4,5,0
2021-05-21,1,2,0
2021-05-22,0,1,0
2021-05-23,0,0,3
2021-05-24,7,0,0
2021-05-25,2,0,5
2021-05-26,0,9,4
2021-05-27,0,8,4
2021-05-28,4,1,4
2021-05-29,1,0,5
2021-05-30,1,0,5
2021-05-31,1,9,0
2021-06-01,2,8,0
2021-06-02,1,0,0
2021-06-03,6,0,4
2021-06-04,1,0,0
2021-06-05,3,1,0
2021-06-06,3,0,4
2021-06-07,3,4,1
2021-06-08,0,0,4
2021-06-09,1,0,0
2021-06-10,1,1,0
2021-06-11,2,1,3
2021-06-12,1,0,0
2021-06-13,1,0,0
2021-06-14,0,4,0
2021-06-15,2,0,0
2021-06-16,0,1,6
2021-06-17,3,7,3
2021-06-18,0,15,0
2021-06-19,1,1,0
2021-06-20,3,0,0
2021-06-21,0,26,5
2021-06-22,2,20,0
2021-06-23,1,6,0
2021-06-24,1,3,0
2021-06-25,1,12,3
2021-06-26,2,1,0
2021-06-27,5,0,2
2021-06-28,3,18,3
2021-06-29,2,22,0
2021-06-30,0,3,3
2021-07-01,3,3,6
2021-07-02,1,5,3
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,2,20,0
2021-07-06,1,10,0
2021-07-07,3,12,3
2021-07-08,4,13,0
2021-07-09,3,0,3
2021-07-10,1,1,0
2021-07-11,3,0,3
2021-07-12,2,11,0
2021-07-13,2,5,0
2021-07-14,0,0,0
2021-07-15,0,15,4
2021-07-16,0,30,0
2021-07-17,3,0,0
2021-07-18,2,1,0
2021-07-19,0,0,0
2021-07-20,2,2,0
2021-07-21,1,1,3
2021-07-22,0,10,0
2021-07-23,1,3,1
2021-07-24,5,6,2
2021-07-25,2,1,4
2021-07-26,0,0,0
2021-07-27,2,4,1
2021-07-28,1,0,3
2021-07-29,0,3,3
2021-07-30,0,0,1
2021-07-31,2,0,0
2021-08-01,0,2,0
2021-08-02,1,5,0
2021-08-03,1,1,0
2021-08-04,0,0,0
