,diaspora/diaspora,mastodon/mastodon,friendica/friendica
2019-01-27,0,3,10
2019-01-28,0,4,11
2019-01-29,0,1,19
2019-01-30,0,0,25
2019-01-31,0,5,4
2019-02-01,0,1,5
2019-02-02,0,7,10
2019-02-03,0,1,23
2019-02-04,0,6,15
2019-02-05,0,8,20
2019-02-06,0,2,16
2019-02-07,0,0,5
2019-02-08,0,0,5
2019-02-09,0,3,22
2019-02-10,0,1,29
2019-02-11,0,4,10
2019-02-12,0,4,15
2019-02-13,0,10,12
2019-02-14,0,5,10
2019-02-15,0,5,9
2019-02-16,0,4,16
2019-02-17,0,4,25
2019-02-18,0,3,24
2019-02-19,7,2,9
2019-02-20,0,2,20
2019-02-21,0,1,7
2019-02-22,0,1,13
2019-02-23,0,3,43
2019-02-24,0,2,32
2019-02-25,1,3,9
2019-02-26,3,2,5
2019-02-27,0,3,25
2019-02-28,0,3,5
2019-03-01,0,1,5
2019-03-02,0,0,14
2019-03-03,0,10,4
2019-03-04,0,9,11
2019-03-05,0,15,0
2019-03-06,0,8,0
2019-03-07,0,9,5
2019-03-08,0,3,7
2019-03-09,0,1,28
2019-03-10,0,6,10
2019-03-11,0,4,15
2019-03-12,0,5,9
2019-03-13,0,4,5
2019-03-14,0,7,12
2019-03-15,0,9,8
2019-03-16,0,8,10
2019-03-17,0,7,14
2019-03-18,0,4,7
2019-03-19,0,3,9
2019-03-20,0,2,7
2019-03-21,0,4,1
2019-03-22,0,0,6
2019-03-23,0,6,84
2019-03-24,0,4,13
2019-03-25,0,3,13
2019-03-26,0,9,15
2019-03-27,0,5,4
2019-03-28,0,7,3
2019-03-29,0,6,2
2019-03-30,34,7,6
2019-03-31,0,2,7
2019-04-01,0,6,9
2019-04-02,0,3,11
2019-04-03,0,6,2
2019-04-04,0,4,12
2019-04-05,0,2,17
2019-04-06,0,8,2
2019-04-07,0,4,3
2019-04-08,0,12,9
2019-04-09,0,8,20
2019-04-10,0,17,7
2019-04-11,0,0,7
2019-04-12,0,0,2
2019-04-13,0,3,7
2019-04-14,0,0,21
2019-04-15,0,4,0
2019-04-16,0,1,0
2019-04-17,0,0,1
2019-04-18,0,1,0
2019-04-19,0,0,2
2019-04-20,0,0,10
2019-04-21,0,11,10
2019-04-22,0,4,10
2019-04-23,0,2,7
2019-04-24,0,0,13
2019-04-25,0,4,5
2019-04-26,17,1,4
2019-04-27,16,2,0
2019-04-28,11,1,8
2019-04-29,4,0,5
2019-04-30,5,0,3
2019-05-01,0,2,21
2019-05-02,0,2,74
2019-05-03,3,12,16
2019-05-04,0,6,14
2019-05-05,3,5,36
2019-05-06,0,2,26
2019-05-07,0,1,3
2019-05-08,0,1,9
2019-05-09,0,11,4
2019-05-10,0,3,6
2019-05-11,9,3,2
2019-05-12,0,1,2
2019-05-13,4,0,17
2019-05-14,0,2,3
2019-05-15,0,3,9
2019-05-16,0,0,6
2019-05-17,0,2,7
2019-05-18,0,3,19
2019-05-19,0,8,33
2019-05-20,0,1,27
2019-05-21,1,2,3
2019-05-22,0,4,1
2019-05-23,0,5,2
2019-05-24,2,2,5
2019-05-25,1,6,5
2019-05-26,0,7,13
2019-05-27,0,5,17
2019-05-28,0,3,6
2019-05-29,0,7,18
2019-05-30,0,3,10
2019-05-31,0,1,4
2019-06-01,0,2,4
2019-06-02,0,4,6
2019-06-03,0,1,3
2019-06-04,0,12,0
2019-06-05,0,4,2
2019-06-06,0,6,4
2019-06-07,0,7,1
2019-06-08,0,8,0
2019-06-09,0,7,0
2019-06-10,0,9,22
2019-06-11,0,7,14
2019-06-12,0,11,5
2019-06-13,0,6,16
2019-06-14,0,1,8
2019-06-15,0,0,8
2019-06-16,7,4,4
2019-06-17,0,0,4
2019-06-18,0,3,2
2019-06-19,0,3,8
2019-06-20,0,3,6
2019-06-21,0,5,5
2019-06-22,0,7,21
2019-06-23,0,0,17
2019-06-24,0,0,7
2019-06-25,4,2,4
2019-06-26,1,4,1
2019-06-27,0,3,5
2019-06-28,0,3,7
2019-06-29,0,3,5
2019-06-30,0,2,2
2019-07-01,1,5,3
2019-07-02,0,2,4
2019-07-03,40,0,2
2019-07-04,2,0,4
2019-07-05,0,4,4
2019-07-06,2,3,2
2019-07-07,0,4,7
2019-07-08,0,4,11
2019-07-09,0,2,7
2019-07-10,0,4,7
2019-07-11,0,3,4
2019-07-12,0,1,10
2019-07-13,0,1,9
2019-07-14,0,1,25
2019-07-15,0,6,16
2019-07-16,0,5,18
2019-07-17,0,4,8
2019-07-18,0,6,16
2019-07-19,0,5,3
2019-07-20,0,0,7
2019-07-21,0,8,10
2019-07-22,0,2,9
2019-07-23,0,3,6
2019-07-24,0,1,11
2019-07-25,0,2,1
2019-07-26,0,2,6
2019-07-27,0,5,30
2019-07-28,0,8,10
2019-07-29,0,3,14
2019-07-30,0,6,28
2019-07-31,0,2,10
2019-08-01,0,4,1
2019-08-02,0,0,12
2019-08-03,0,3,6
2019-08-04,0,1,18
2019-08-05,0,1,12
2019-08-06,0,9,19
2019-08-07,0,9,9
2019-08-08,0,6,6
2019-08-09,0,0,0
2019-08-10,0,0,0
2019-08-11,0,3,11
2019-08-12,0,2,2
2019-08-13,0,3,13
2019-08-14,0,1,1
2019-08-15,0,11,26
2019-08-16,0,4,4
2019-08-17,0,5,20
2019-08-18,0,8,11
2019-08-19,0,6,16
2019-08-20,0,3,4
2019-08-21,0,1,7
2019-08-22,0,3,4
2019-08-23,0,4,4
2019-08-24,0,1,2
2019-08-25,0,5,0
2019-08-26,0,1,15
2019-08-27,0,1,8
2019-08-28,0,0,16
2019-08-29,0,8,13
2019-08-30,0,9,6
2019-08-31,0,2,2
2019-09-01,5,3,0
2019-09-02,0,5,10
2019-09-03,0,8,9
2019-09-04,0,5,6
2019-09-05,0,5,5
2019-09-06,0,1,4
2019-09-07,0,2,0
2019-09-08,0,1,1
2019-09-09,0,5,6
2019-09-10,0,6,14
2019-09-11,0,4,8
2019-09-12,0,2,2
2019-09-13,0,13,9
2019-09-14,0,2,13
2019-09-15,0,2,4
2019-09-16,0,10,2
2019-09-17,0,6,5
2019-09-18,0,7,4
2019-09-19,0,6,4
2019-09-20,0,6,2
2019-09-21,0,9,9
2019-09-22,0,5,7
2019-09-23,0,4,4
2019-09-24,0,3,2
2019-09-25,0,2,6
2019-09-26,0,1,7
2019-09-27,0,16,5
2019-09-28,0,2,10
2019-09-29,0,14,17
2019-09-30,0,6,24
2019-10-01,0,14,12
2019-10-02,0,12,15
2019-10-03,0,13,8
2019-10-04,0,0,6
2019-10-05,0,0,10
2019-10-06,0,6,18
2019-10-07,0,8,10
2019-10-08,0,3,2
2019-10-09,0,4,0
2019-10-10,0,9,12
2019-10-11,0,0,20
2019-10-12,0,0,5
2019-10-13,0,0,14
2019-10-14,0,0,2
2019-10-15,0,0,7
2019-10-16,0,0,10
2019-10-17,0,0,11
2019-10-18,1,0,6
2019-10-19,0,0,2
2019-10-20,0,0,4
2019-10-21,0,0,7
2019-10-22,0,0,13
2019-10-23,0,0,11
2019-10-24,4,17,15
2019-10-25,0,2,3
2019-10-26,0,1,7
2019-10-27,0,3,6
2019-10-28,0,0,12
2019-10-29,0,0,6
2019-10-30,0,0,4
2019-10-31,0,0,2
2019-11-01,0,0,7
2019-11-02,0,0,36
2019-11-03,0,0,22
2019-11-04,0,14,6
2019-11-05,0,0,13
2019-11-06,0,0,3
2019-11-07,0,5,9
2019-11-08,0,0,4
2019-11-09,0,0,9
2019-11-10,0,4,0
2019-11-11,0,0,2
2019-11-12,0,0,3
2019-11-13,0,6,4
2019-11-14,0,0,2
2019-11-15,0,2,3
2019-11-16,0,1,0
2019-11-17,0,3,3
2019-11-18,0,0,8
2019-11-19,0,3,6
2019-11-20,0,0,2
2019-11-21,0,6,4
2019-11-22,0,2,10
2019-11-23,0,0,8
2019-11-24,0,1,2
2019-11-25,0,1,5
2019-11-26,0,1,5
2019-11-27,0,1,10
2019-11-28,0,2,14
2019-11-29,0,5,6
2019-11-30,0,4,7
2019-12-01,0,7,9
2019-12-02,0,6,4
2019-12-03,0,2,7
2019-12-04,0,7,11
2019-12-05,0,0,21
2019-12-06,0,2,8
2019-12-07,0,0,6
2019-12-08,0,1,12
2019-12-09,0,2,11
2019-12-10,0,3,22
2019-12-11,0,0,23
2019-12-12,0,2,8
2019-12-13,0,1,16
2019-12-14,0,0,5
2019-12-15,0,0,2
2019-12-16,0,4,14
2019-12-17,0,4,2
2019-12-18,0,8,6
2019-12-19,0,2,11
2019-12-20,0,0,21
2019-12-21,0,0,19
2019-12-22,0,2,6
2019-12-23,0,2,13
2019-12-24,0,0,16
2019-12-25,0,0,6
2019-12-26,0,0,2
2019-12-27,0,0,13
2019-12-28,0,0,16
2019-12-29,0,5,46
2019-12-30,0,10,27
2019-12-31,0,2,5
2020-01-01,0,0,9
2020-01-02,0,3,0
2020-01-03,0,7,8
2020-01-04,0,4,12
2020-01-05,0,1,32
2020-01-06,0,1,16
2020-01-07,0,1,12
2020-01-08,0,1,16
2020-01-09,0,2,12
2020-01-10,0,5,21
2020-01-11,0,12,16
2020-01-12,0,6,19
2020-01-13,0,3,12
2020-01-14,0,2,2
2020-01-15,0,1,8
2020-01-16,0,0,4
2020-01-17,0,2,13
2020-01-18,0,2,24
2020-01-19,0,0,42
2020-01-20,0,5,23
2020-01-21,17,4,8
2020-01-22,3,3,11
2020-01-23,0,12,26
2020-01-24,4,5,7
2020-01-25,0,10,9
2020-01-26,0,5,28
2020-01-27,2,6,4
2020-01-28,0,9,31
2020-01-29,0,3,9
2020-01-30,0,1,16
2020-01-31,0,0,18
2020-02-01,0,2,10
2020-02-02,13,0,29
2020-02-03,0,9,5
2020-02-04,5,0,13
2020-02-05,0,0,31
2020-02-06,0,0,9
2020-02-07,0,2,3
2020-02-08,0,6,6
2020-02-09,3,1,29
2020-02-10,0,1,9
2020-02-11,22,0,1
2020-02-12,0,0,4
2020-02-13,0,0,5
2020-02-14,0,0,5
2020-02-15,0,1,0
2020-02-16,0,3,23
2020-02-17,2,1,9
2020-02-18,0,1,4
2020-02-19,0,2,12
