,jashkenas/underscore,lodash/lodash,ramda/ramda
2016-06-27,0,0,1
2016-06-28,0,0,1
2016-06-29,1,5,2
2016-06-30,0,0,0
2016-07-01,0,0,0
2016-07-02,0,0,0
2016-07-03,0,0,0
2016-07-04,0,0,0
2016-07-05,0,0,0
2016-07-06,0,0,0
2016-07-07,0,0,0
2016-07-08,0,0,1
2016-07-09,2,0,1
2016-07-10,0,0,1
2016-07-11,0,0,0
2016-07-12,0,0,0
2016-07-13,2,0,0
2016-07-14,1,0,0
2016-07-15,0,0,0
2016-07-16,0,0,0
2016-07-17,0,0,1
2016-07-18,0,40,1
2016-07-19,0,0,1
2016-07-20,0,3,0
