,DevExpress/testcafe,cypress-io/cypress,seleniumhq/selenium
2022-04-25,2,12,1
2022-04-26,0,9,0
2022-04-27,1,4,8
2022-04-28,0,8,13
2022-04-29,0,10,1
2022-04-30,0,0,0
2022-05-01,0,1,2
2022-05-02,0,17,7
2022-05-03,0,26,5
2022-05-04,1,10,1
2022-05-05,1,31,8
2022-05-06,4,17,0
2022-05-07,0,0,12
2022-05-08,0,0,0
2022-05-09,0,32,15
2022-05-10,2,12,10
2022-05-11,1,8,5
2022-05-12,3,20,8
2022-05-13,2,17,3
2022-05-14,0,0,3
2022-05-15,0,0,1
2022-05-16,1,9,1
2022-05-17,3,18,0
2022-05-18,1,7,3
2022-05-19,2,6,2
