,microsoft/typescript,google/closure-compiler,rescript-lang/rescript-compiler
2017-07-14,12,0,3
2017-07-15,4,0,0
2017-07-16,3,0,0
2017-07-17,24,0,0
2017-07-18,15,44,2
2017-07-19,10,4,3
2017-07-20,12,29,4
2017-07-21,6,15,3
2017-07-22,2,0,2
2017-07-23,0,0,7
2017-07-24,4,0,4
2017-07-25,20,29,11
2017-07-26,18,21,10
2017-07-27,25,10,2
2017-07-28,14,17,20
2017-07-29,2,0,4
2017-07-30,9,0,0
2017-07-31,8,23,8
2017-08-01,3,14,19
2017-08-02,19,5,13
2017-08-03,5,11,4
2017-08-04,5,8,17
2017-08-05,10,0,0
2017-08-06,0,0,4
2017-08-07,34,16,3
2017-08-08,31,25,10
2017-08-09,26,14,3
2017-08-10,18,20,10
2017-08-11,20,28,7
2017-08-12,3,0,1
2017-08-13,3,0,5
2017-08-14,14,0,10
2017-08-15,24,18,11
2017-08-16,14,17,20
2017-08-17,18,0,9
2017-08-18,31,17,11
2017-08-19,11,0,15
2017-08-20,0,0,2
2017-08-21,13,4,2
2017-08-22,31,3,6
2017-08-23,14,4,7
2017-08-24,20,0,7
2017-08-25,18,10,15
2017-08-26,1,0,6
2017-08-27,2,0,5
2017-08-28,19,13,2
2017-08-29,29,6,14
2017-08-30,9,2,2
2017-08-31,19,1,1
2017-09-01,8,6,11
2017-09-02,2,0,2
2017-09-03,4,0,0
2017-09-04,2,0,7
2017-09-05,11,4,2
2017-09-06,19,0,4
2017-09-07,62,0,12
2017-09-08,21,17,5
2017-09-09,9,0,3
2017-09-10,0,0,3
2017-09-11,13,0,12
2017-09-12,7,22,6
2017-09-13,31,6,5
2017-09-14,32,9,8
2017-09-15,23,14,11
2017-09-16,2,0,4
2017-09-17,0,0,2
2017-09-18,10,8,1
2017-09-19,25,6,8
2017-09-20,13,6,22
2017-09-21,16,7,8
2017-09-22,21,13,1
2017-09-23,2,0,2
2017-09-24,0,0,9
2017-09-25,12,0,3
2017-09-26,15,4,8
2017-09-27,11,13,6
2017-09-28,33,5,8
2017-09-29,7,0,10
2017-09-30,11,0,2
2017-10-01,1,0,2
2017-10-02,25,6,4
2017-10-03,38,12,1
2017-10-04,22,18,7
2017-10-05,27,6,5
2017-10-06,15,9,0
2017-10-07,1,0,0
2017-10-08,0,0,0
2017-10-09,20,0,3
2017-10-10,27,29,6
2017-10-11,50,7,9
2017-10-12,30,0,3
2017-10-13,18,17,5
2017-10-14,8,0,4
2017-10-15,0,0,9
2017-10-16,23,15,3
2017-10-17,29,15,13
2017-10-18,43,11,14
2017-10-19,13,6,13
2017-10-20,14,6,7
2017-10-21,7,0,10
2017-10-22,3,0,5
2017-10-23,14,0,8
2017-10-24,26,20,12
2017-10-25,10,4,10
2017-10-26,32,6,20
2017-10-27,21,19,8
2017-10-28,7,0,6
2017-10-29,8,0,4
2017-10-30,25,6,13
2017-10-31,31,17,7
2017-11-01,14,11,12
2017-11-02,16,14,0
2017-11-03,34,12,1
2017-11-04,8,0,17
2017-11-05,2,0,2
2017-11-06,35,10,0
2017-11-07,43,12,0
2017-11-08,23,6,0
2017-11-09,21,7,1
2017-11-10,36,11,0
2017-11-11,6,0,2
2017-11-12,1,0,3
2017-11-13,24,15,12
2017-11-14,20,22,5
2017-11-15,20,10,14
2017-11-16,30,3,14
2017-11-17,35,23,2
2017-11-18,8,0,7
2017-11-19,3,0,1
2017-11-20,15,0,10
2017-11-21,27,20,12
2017-11-22,29,7,15
2017-11-23,10,0,0
2017-11-24,2,0,6
2017-11-25,3,0,1
2017-11-26,0,0,1
2017-11-27,10,2,2
2017-11-28,22,9,23
2017-11-29,19,12,11
2017-11-30,24,19,10
2017-12-01,8,7,0
2017-12-02,11,0,1
2017-12-03,6,0,6
2017-12-04,19,23,11
2017-12-05,18,11,7
2017-12-06,23,2,8
2017-12-07,20,20,12
2017-12-08,15,10,3
2017-12-09,1,14,4
2017-12-10,0,0,4
2017-12-11,13,11,6
2017-12-12,16,7,4
2017-12-13,25,11,2
2017-12-14,15,16,3
2017-12-15,16,12,8
2017-12-16,9,0,8
2017-12-17,1,0,7
2017-12-18,9,9,11
2017-12-19,15,0,9
2017-12-20,15,0,4
2017-12-21,6,35,9
2017-12-22,7,0,3
2017-12-23,4,0,2
2017-12-24,4,0,2
2017-12-25,2,0,9
2017-12-26,0,0,9
2017-12-27,3,0,7
2017-12-28,9,0,5
2017-12-29,10,0,5
2017-12-30,0,0,9
2017-12-31,0,0,0
2018-01-01,0,0,0
2018-01-02,0,29,5
2018-01-03,16,11,2
2018-01-04,19,4,8
2018-01-05,20,12,9
2018-01-06,10,0,2
2018-01-07,6,0,2
2018-01-08,43,4,5
2018-01-09,19,4,4
2018-01-10,29,13,5
2018-01-11,27,11,3
2018-01-12,13,5,5
2018-01-13,6,0,9
2018-01-14,1,0,4
2018-01-15,8,0,8
2018-01-16,16,13,7
2018-01-17,70,4,5
2018-01-18,31,9,4
2018-01-19,25,4,0
2018-01-20,18,0,0
2018-01-21,3,0,1
2018-01-22,16,10,15
2018-01-23,14,8,6
2018-01-24,18,8,0
2018-01-25,21,0,6
2018-01-26,8,7,4
2018-01-27,3,8,4
2018-01-28,1,0,8
2018-01-29,8,0,7
2018-01-30,30,19,13
2018-01-31,16,0,3
2018-02-01,19,23,10
2018-02-02,10,11,4
2018-02-03,13,0,4
2018-02-04,0,0,2
2018-02-05,23,4,9
2018-02-06,31,10,4
2018-02-07,50,9,4
2018-02-08,23,0,5
2018-02-09,24,16,3
2018-02-10,17,0,9
2018-02-11,5,0,3
2018-02-12,23,3,14
2018-02-13,12,12,1
2018-02-14,11,9,1
2018-02-15,15,12,0
2018-02-16,17,15,2
2018-02-17,8,0,1
2018-02-18,1,0,0
2018-02-19,0,0,0
2018-02-20,19,8,0
2018-02-21,17,4,0
2018-02-22,21,8,9
2018-02-23,26,0,9
2018-02-24,5,0,3
2018-02-25,0,16,0
2018-02-26,12,0,2
2018-02-27,11,16,0
2018-02-28,20,5,11
2018-03-01,32,0,1
2018-03-02,15,1,12
2018-03-03,11,27,4
2018-03-04,3,0,0
2018-03-05,14,5,13
2018-03-06,15,5,10
2018-03-07,6,0,7
2018-03-08,23,7,16
2018-03-09,23,24,9
2018-03-10,2,0,0
2018-03-11,0,0,0
2018-03-12,9,14,7
2018-03-13,17,4,15
2018-03-14,17,9,16
2018-03-15,7,15,7
2018-03-16,16,3,7
2018-03-17,5,9,6
2018-03-18,0,0,8
2018-03-19,13,2,18
2018-03-20,14,9,8
2018-03-21,21,12,5
2018-03-22,24,4,5
2018-03-23,17,8,0
2018-03-24,4,0,7
2018-03-25,7,0,0
2018-03-26,17,0,5
2018-03-27,15,16,16
2018-03-28,26,0,7
2018-03-29,50,0,5
2018-03-30,12,19,2
2018-03-31,2,0,0
2018-04-01,0,0,0
2018-04-02,33,0,8
2018-04-03,26,15,15
2018-04-04,17,22,5
2018-04-05,25,0,5
2018-04-06,22,9,3
2018-04-07,1,10,0
2018-04-08,3,0,0
2018-04-09,19,6,4
2018-04-10,20,15,3
2018-04-11,29,10,0
2018-04-12,24,11,11
2018-04-13,10,0,8
2018-04-14,15,14,2
2018-04-15,8,0,5
2018-04-16,23,8,0
2018-04-17,34,7,3
2018-04-18,34,5,1
2018-04-19,24,7,2
2018-04-20,25,11,2
2018-04-21,9,0,1
2018-04-22,0,0,1
2018-04-23,9,4,1
2018-04-24,36,6,3
2018-04-25,16,2,0
2018-04-26,9,9,2
2018-04-27,16,7,3
2018-04-28,14,0,2
2018-04-29,4,0,3
2018-04-30,21,9,1
2018-05-01,13,0,1
2018-05-02,17,11,0
2018-05-03,47,4,13
2018-05-04,29,0,0
2018-05-05,14,8,0
2018-05-06,1,0,1
2018-05-07,14,0,6
2018-05-08,35,5,0
2018-05-09,27,10,0
2018-05-10,29,8,5
2018-05-11,22,11,3
2018-05-12,6,0,0
2018-05-13,0,0,0
2018-05-14,17,0,2
2018-05-15,20,28,2
2018-05-16,39,0,0
2018-05-17,27,35,4
2018-05-18,20,15,8
2018-05-19,10,0,2
2018-05-20,0,0,5
2018-05-21,19,6,9
2018-05-22,36,13,2
2018-05-23,24,4,10
2018-05-24,36,8,1
2018-05-25,20,14,3
2018-05-26,8,0,9
2018-05-27,12,0,1
2018-05-28,3,0,0
2018-05-29,28,6,2
2018-05-30,34,0,0
2018-05-31,26,7,0
2018-06-01,21,14,0
2018-06-02,5,0,0
2018-06-03,8,0,8
2018-06-04,41,0,1
2018-06-05,25,5,4
2018-06-06,13,5,3
2018-06-07,27,0,1
2018-06-08,24,5,2
2018-06-09,8,10,5
2018-06-10,12,0,0
2018-06-11,42,9,0
2018-06-12,27,3,0
2018-06-13,42,9,6
2018-06-14,27,10,4
2018-06-15,16,6,4
2018-06-16,6,0,0
2018-06-17,0,0,0
2018-06-18,7,4,6
2018-06-19,20,7,0
2018-06-20,7,16,3
2018-06-21,30,12,14
2018-06-22,20,6,5
2018-06-23,0,0,3
2018-06-24,0,0,3
2018-06-25,34,6,0
2018-06-26,30,15,10
2018-06-27,11,8,5
2018-06-28,18,17,1
2018-06-29,26,3,6
2018-06-30,16,0,0
2018-07-01,2,0,8
2018-07-02,41,18,6
2018-07-03,27,8,4
2018-07-04,14,0,5
2018-07-05,17,0,0
2018-07-06,20,7,6
2018-07-07,1,0,0
2018-07-08,1,0,3
2018-07-09,9,3,0
2018-07-10,26,0,1
2018-07-11,25,4,1
2018-07-12,17,5,2
2018-07-13,9,2,0
2018-07-14,2,0,2
2018-07-15,0,0,1
2018-07-16,12,0,3
2018-07-17,10,8,2
2018-07-18,17,16,0
2018-07-19,7,6,1
2018-07-20,20,0,0
2018-07-21,4,5,0
2018-07-22,0,0,0
2018-07-23,2,3,3
2018-07-24,16,3,8
2018-07-25,20,6,1
2018-07-26,21,5,0
2018-07-27,11,7,4
2018-07-28,8,0,6
2018-07-29,4,0,0
2018-07-30,13,7,6
2018-07-31,23,4,5
2018-08-01,22,10,6
2018-08-02,15,0,7
2018-08-03,13,11,2
2018-08-04,4,0,1
2018-08-05,2,0,0
2018-08-06,23,3,5
2018-08-07,6,3,0
