,vercel/next.js,tanstack/router,remix-run/react-router
2022-01-22,1,0,2
2022-01-23,3,1,0
2022-01-24,12,0,1
2022-01-25,6,0,0
2022-01-26,17,0,3
2022-01-27,28,0,2
2022-01-28,9,0,0
2022-01-29,1,0,0
2022-01-30,2,0,1
2022-01-31,9,9,4
2022-02-01,17,17,3
2022-02-02,17,2,16
2022-02-03,10,6,0
2022-02-04,18,0,1
2022-02-05,14,0,1
2022-02-06,28,1,0
2022-02-07,14,6,0
2022-02-08,17,0,4
2022-02-09,10,0,0
2022-02-10,16,0,6
2022-02-11,15,7,3
2022-02-12,3,3,1
2022-02-13,6,0,0
