,highcharts/highcharts,d3/d3,chartjs/chart.js
2024-03-24,0,0,0
2024-03-25,25,0,0
2024-03-26,12,0,0
2024-03-27,67,0,0
2024-03-28,5,0,0
2024-03-29,4,0,0
2024-03-30,0,0,0
2024-03-31,0,0,0
2024-04-01,0,0,0
2024-04-02,21,0,0
2024-04-03,15,0,0
2024-04-04,38,0,0
2024-04-05,35,0,0
2024-04-06,4,0,0
2024-04-07,1,0,0
2024-04-08,24,0,0
2024-04-09,20,1,0
2024-04-10,19,0,0
2024-04-11,18,0,0
2024-04-12,29,0,0
2024-04-13,0,0,0
2024-04-14,0,0,0
2024-04-15,14,0,0
2024-04-16,29,0,0
