,tensorflow/models,huggingface/transformers,pytorch/vision
2022-01-05,0,6,4
2022-01-06,2,16,8
2022-01-07,5,5,4
2022-01-08,2,1,0
2022-01-09,1,0,1
2022-01-10,2,30,4
2022-01-11,4,17,1
2022-01-12,14,8,1
2022-01-13,3,8,1
2022-01-14,4,11,2
2022-01-15,0,1,0
2022-01-16,0,1,0
2022-01-17,0,5,6
2022-01-18,4,19,3
2022-01-19,11,18,6
2022-01-20,4,9,9
2022-01-21,4,15,3
2022-01-22,8,0,0
2022-01-23,0,0,1
2022-01-24,3,12,8
2022-01-25,1,4,4
2022-01-26,2,8,6
2022-01-27,3,15,7
2022-01-28,4,11,3
