,alacritty/alacritty,mintty/mintty,microsoft/terminal
2019-11-14,0,4,2.0455047047421875
2019-11-15,2,2,3.1961444337890623
2019-11-16,1,0,1.141688166834375
2019-11-17,2,1,-0.7013803777156246
2019-11-18,2,2,1.5867322662500005
2019-11-19,2,2,0.49017827323437557
2019-11-20,0,1,5.561055993417188
2019-11-21,1,1,0.09723092554843749
2019-11-22,1,1,6.4103781357375
2019-11-23,2,1,-1.0545532021703128
2019-11-24,0,0,-0.5626478111749995
2019-11-25,2,0,4.630989889928125
2019-11-26,2,1,1.2300433527187504
2019-11-27,1,0,0.3560925419125003
2019-11-28,3,1,1.4984634856203127
2019-11-29,0,1,-0.5429298019812494
2019-11-30,2,0,-0.315785793645312
2019-12-01,1,0,-0.23449803025156202
2019-12-02,1,1,2.8607657437500005
2019-12-03,0,1,4.584575529921875
2019-12-04,2,1,4.266451390039062
2019-12-05,1,0,1.1409465894124995
2019-12-06,2,0,4.342977021432812
2019-12-07,0,0,-0.900960455071875
2019-12-08,0,0,-0.5053822874999995
2019-12-09,3,0,1.6365000987500005
2019-12-10,0,1,1.5144705172031259
2019-12-11,1,0,7.474585621064063
2019-12-12,3,0,4.8751667172421875
2019-12-13,0,0,0.8250756300390623
2019-12-14,1,0,1.16380222985
2019-12-15,1,0,-0.726851787679687
2019-12-16,0,0,1.551579582500001
2019-12-17,0,0,6.458354381468751
2019-12-18,0,0,0.9327855238968752
2019-12-19,0,2,3.209536088303125
2019-12-20,0,0,-0.9039371158812499
2019-12-21,2,0,0.4944118662531257
2019-12-22,2,0,-0.4304006061031245
2019-12-23,0,0,-0.2910026850718742
2019-12-24,1,0,0.7839164752187505
2019-12-25,0,0,-0.27927383868124955
2019-12-26,0,0,-0.18342012878281216
2019-12-27,0,0,-0.09673296963437485
2019-12-28,0,0,-0.0653516063937498
2019-12-29,1,0,-0.025685063015624923
2019-12-30,1,0,3.9784391349640624
2019-12-31,2,0,0.5889063037499997
2020-01-01,0,0,0.7104316869843748
2020-01-02,2,0,0.7326011474640624
2020-01-03,1,0,1.7438500000000001
2020-01-04,2,0,-0.35862949999999993
2020-01-05,3,0,-0.20792729999999982
2020-01-06,2,0,1.8486839525000003
2020-01-07,1,0,2.6800292891875004
2020-01-08,1,0,3.510347068090625
2020-01-09,2,0,4.352615113198437
2020-01-10,2,1,5.153020441948437
2020-01-11,2,0,-0.06075647856718791
2020-01-12,2,1,-0.6866219800718747
2020-01-13,0,2,0.5545470700000006
2020-01-14,1,0,4.561875485218751
2020-01-15,3,0,4.18194950838125
2020-01-16,1,1,1.0324728840796875
2020-01-17,2,5,2.250676334778125
2020-01-18,1,0,-0.7624270870234372
2020-01-19,1,0,-0.44901969073124937
2020-01-20,3,0,0.7072886387140631
2020-01-21,2,0,1.6749321432343756
2020-01-22,2,0,1.568616826135938
2020-01-23,0,0,1.5299907422421877
2020-01-24,3,0,0.5379255225390626
2020-01-25,0,0,-0.3499443941187499
2020-01-26,2,0,-0.21391707010781222
2020-01-27,1,0,1.8605237787500004
2020-01-28,1,0,1.6890242694843751
2020-01-29,0,0,3.6178363539328124
2020-01-30,1,0,5.381716263896875
2020-01-31,2,0,7.074646972646875
2020-02-01,0,0,-1.2839245180875007
2020-02-02,1,0,-0.6806063775359374
2020-02-03,1,2,7.535046582500001
2020-02-04,1,0,3.8440274314687506
2020-02-05,1,0,0.8517848088968751
2020-02-06,0,0,-0.8799292346343749
2020-02-07,3,0,-0.5775548582374991
2020-02-08,0,0,-0.4161861193406239
2020-02-09,0,0,-0.2943956702874991
2020-02-10,1,0,10.8132068675
2020-02-11,1,0,3.7416609896249993
2020-02-12,1,1,6.867780222134375
2020-02-13,1,1,4.600369111289062
2020-02-14,1,0,1.653414794928125
2020-02-15,2,0,-1.0785967499999998
2020-02-16,0,0,-0.6966658874999989
2020-02-17,1,1,-0.5262497212499987
2020-02-18,1,2,1.5752959755781264
2020-02-19,1,3,2.4436991620265633
2020-02-20,0,4,5.385411018195313
2020-02-21,0,4,3.0501182128687496
2020-02-22,2,0,-0.8759230542625003
2020-02-23,2,0,-0.47041755760781234
2020-02-24,0,0,0.6873507250000006
2020-02-25,0,3,0.6589760700000007
2020-02-26,1,0,5.65914321021875
2020-02-27,5,0,4.16178712838125
2020-02-28,1,0,4.053856279298437
2020-02-29,1,2,-1.0214456172781254
2020-03-01,4,0,-0.5543491726437496
2020-03-02,3,0,1.6332312912500007
2020-03-03,0,1,1.516469665734376
2020-03-04,1,0,1.479076844448438
2020-03-05,0,3,0.4659127256203127
2020-03-06,1,0,2.5579718384562504
2020-03-07,1,0,0.4346056722421876
2020-03-08,0,0,0.5946232123203128
2020-03-09,1,0,7.6680925825
2020-03-10,0,1,8.98074770646875
2020-03-11,1,0,4.471203513896874
2020-03-12,2,1,2.5987066851468743
2020-03-13,2,0,6.7907741306625
2020-03-14,3,1,-0.5479185003328122
2020-03-15,0,0,-1.0102971668734364
2020-03-16,0,0,6.3093126394484385
2020-03-17,3,0,2.7668786058390635
2020-03-18,1,2,7.853319322056251
2020-03-19,3,4,6.413313961546875
2020-03-20,0,2,2.3457845502218753
2020-03-21,1,0,-1.3332028605187498
2020-03-22,0,0,-0.827322720803124
2020-03-23,3,1,9.436946473714064
2020-03-24,1,0,2.5586049113906255
2020-03-25,2,0,7.783328413935938
2020-03-26,2,4,3.3738921527156247
2020-03-27,0,1,4.577864038051563
2020-03-28,0,0,-0.4307815723499999
2020-03-29,0,0,-0.928145035143749
2020-03-30,2,1,2.3720517375000014
2020-03-31,0,2,0.20842522234375116
2020-04-01,0,3,10.359721893828127
2020-04-02,0,0,1.4992324664656247
2020-04-03,0,0,2.9113570720984376
2020-04-04,0,2,-0.028010587023437505
2020-04-05,0,0,-0.7083517157312491
2020-04-06,0,3,2.5468862962140633
2020-04-07,0,0,5.3559189772031255
2020-04-08,0,0,0.9835889331265628
2020-04-09,1,1,12.228803815542188
2020-04-10,1,2,-1.8016166144421881
2020-04-11,0,1,-0.8888887559203121
2020-04-12,1,0,-0.5911752606593745
2020-04-13,0,2,2.578501983714064
2020-04-14,0,1,8.368891108453125
2020-04-15,1,2,0.6891000092984374
2020-04-16,1,0,-0.9042477924968749
2020-04-17,0,0,7.4503267257250005
2020-04-18,1,2,-1.2004978329671872
2020-04-19,0,0,-0.5858617874999995
2020-04-20,1,0,2.58802729875
2020-04-21,1,0,10.379827769703127
2020-04-22,0,0,4.502567232751562
2020-04-23,2,1,1.619477601145312
2020-04-24,0,0,6.948965224928125
2020-04-25,1,0,-1.4581842541249999
2020-04-26,0,1,-0.853436107787499
2020-04-27,0,0,3.435248773750001
2020-04-28,0,0,5.156642077203126
2020-04-29,0,0,6.854569784220313
2020-04-30,1,0,5.527625555260937
2020-05-01,3,0,-0.4814976242625002
2020-05-02,1,4,-0.9331850617328121
2020-05-03,1,9,1.373660629712501
2020-05-04,0,3,4.374581640000001
2020-05-05,1,2,10.0663887204375
2020-05-06,1,3,-0.6700056957375002
2020-05-07,3,1,1.0034174944093752
2020-05-08,0,0,7.160691292353126
2020-05-09,0,0,-1.3210555557671868
2020-05-10,0,0,-0.711343057535937
2020-05-11,0,0,2.495171005218751
2020-05-12,2,1,6.302634558600001
2020-05-13,1,0,-1.1485974271015622
2020-05-14,2,1,4.370060816589063
2020-05-15,0,1,2.1222274514328126
2020-05-16,3,1,-0.8113319591968745
2020-05-17,2,0,2.5030058922125002
2020-05-18,0,0,1.3857723237500004
2020-05-19,0,0,2.4160679372031257
2020-05-20,1,2,0.3181649387828127
2020-05-21,0,4,2.492266013498438
2020-05-22,0,3,-0.6012979038281249
2020-05-23,1,0,-0.36790623922656196
2020-05-24,1,4,-0.2393144213578121
2020-05-25,0,0,-0.16848261904687445
2020-05-26,0,3,-0.1391265348890621
2020-05-27,3,2,5.90391762213125
2020-05-28,0,1,7.331954040626562
2020-05-29,1,0,-0.10710379158281325
2020-05-30,2,0,-0.6561965576078129
2020-05-31,0,1,-0.39697499999999974
2020-06-01,0,0,7.709499500000001
2020-06-02,1,1,2.971431425
2020-06-03,2,1,4.0520249725
2020-06-04,2,4,7.93267853940625
2020-06-05,1,1,12.457666684409375
2020-06-06,3,0,-2.235843133303126
2020-06-07,0,4,-1.1679744525359372
2020-06-08,1,4,3.1930561300000013
2020-06-09,1,1,4.978942898375002
2020-06-10,0,0,4.714974833900001
2020-06-11,0,0,3.6504515835281253
2020-06-12,0,0,0.6929291726796878
2020-06-13,0,1,-0.9939880550421868
2020-06-14,1,0,1.376592514496876
2020-06-15,2,1,4.419640140000001
2020-06-16,0,0,-0.8957162545624996
2020-06-17,0,2,1.4623889717625005
2020-06-18,1,0,2.426579500440625
2020-06-19,0,0,7.35403192720625
2020-06-20,0,3,-1.160038663710938
2020-06-21,0,2,-0.5916201600718749
2020-06-22,0,0,4.60317389271875
2020-06-23,3,0,2.1953864548500004
2020-06-24,1,0,2.242398307320313
2020-06-25,1,0,2.26478618521875
2020-06-26,1,0,1.2419352858812505
2020-06-27,0,0,-0.664814311732812
2020-06-28,1,0,-0.4188386327874994
2020-06-29,1,0,0.7377077312500007
2020-06-30,0,1,1.6897160586718756
2020-07-01,1,1,7.579300172023438
2020-07-02,0,0,-1.032006610404688
2020-07-03,1,0,-0.5137513891546875
2020-07-04,3,0,-0.32977493363906235
2020-07-05,0,2,-0.2274932175718742
2020-07-06,2,0,2.8336482787500006
2020-07-07,0,10,6.562948194484375
2020-07-08,0,1,2.048714951432812
2020-07-09,4,0,4.206155790803125
2020-07-10,5,0,3.0363216797124997
2020-07-11,2,0,-0.9034877499999999
2020-07-12,0,6,-0.5367907874999995
2020-07-13,0,4,6.6089220737500005
2020-07-14,4,3,6.990919399703126
2020-07-15,4,1,2.6292671000328123
2020-07-16,1,0,2.8448865619515624
2020-07-17,3,0,9.929949592314063
2020-07-18,2,0,-1.7523847647421875
2020-07-19,2,4,-0.9463134976437493
2020-07-20,0,0,2.356431026250001
2020-07-21,0,0,-0.8001303111093736
2020-07-22,1,1,0.45535444312343865
2020-07-23,2,0,0.5198790051500006
2020-07-24,1,0,-0.40088682095624933
2020-07-25,1,0,-0.26069710331562457
2020-07-26,2,7,-0.18103591539531208
2020-07-27,2,1,-0.07006033874999978
2020-07-28,1,1,-0.057983701546874836
2020-07-29,0,3,-0.04945226635781236
2020-07-30,1,2,5.979337990734375
2020-07-31,2,3,1.3820328344484372
2020-08-01,4,0,0.5216011474640622
2020-08-02,4,1,-0.36100000000000027
2020-08-03,1,0,5.774025
2020-08-04,0,1,1.2334744999999998
2020-08-05,1,2,1.398131925
2020-08-06,2,2,3.4299970474999997
2020-08-07,2,0,4.23626571690625
2020-08-08,0,1,-0.955648937496875
2020-08-09,2,0,-0.5178965930874997
2020-08-10,2,2,3.641331444964063
2020-08-11,0,2,5.326299204406251
2020-08-12,3,0,4.995051066253125
2020-08-13,2,0,1.8698808213968747
2020-08-14,2,1,0.06581056161562504
2020-08-15,1,2,1.3241210247781257
2020-08-16,0,0,-0.6458178126796867
2020-08-17,0,0,0.5994651400000008
2020-08-18,0,0,12.590179745437501
2020-08-19,0,0,0.4005047467624996
2020-08-20,0,0,3.000020405440625
2020-08-21,1,0,2.0023217244874996
2020-08-22,2,0,-0.8786815131234368
2020-08-23,0,0,-0.5405402410671867
2020-08-24,0,1,5.600618936178126
2020-08-25,1,0,5.093435110734376
2020-08-26,0,1,-0.12597261423906247
2020-08-27,0,2,0.24681746850156272
2020-08-28,1,2,2.4716729541156255
2020-08-29,0,1,-0.6564758491906244
2020-08-30,2,0,-0.3850316326078119
2020-08-31,1,1,-0.2678135024999995
2020-09-01,0,0,-0.21523831809374935
2020-09-02,0,1,-0.1804089520593745
2020-09-03,0,0,4.889458838018751
2020-09-04,0,0,3.4487517456984373
2020-09-05,0,4,-0.662103791582813
2020-09-06,1,4,-0.3476965576078127
2020-09-07,0,3,-0.2173124999999997
2020-09-08,0,1,1.8367662500000006
2020-09-09,0,1,4.6697229375000004
2020-09-10,0,1,0.30188346874999983
