,laravel/framework,codeigniter4/CodeIgniter4,chriskacerguis/codeigniter-restserver
2018-08-01,19,11,0
2018-08-02,8,12,0
2018-08-03,10,5,0
2018-08-04,5,0,0
2018-08-05,16,2,0
2018-08-06,16,4,0
2018-08-07,17,13,0
2018-08-08,10,4,0
2018-08-09,12,15,0
2018-08-10,3,5,0
2018-08-11,3,1,0
2018-08-12,6,0,0
2018-08-13,5,8,0
2018-08-14,8,2,0
2018-08-15,14,1,0
2018-08-16,6,5,0
2018-08-17,3,1,0
2018-08-18,8,0,0
2018-08-19,2,5,0
2018-08-20,14,4,0
2018-08-21,5,6,0
2018-08-22,5,5,0
2018-08-23,3,0,0
2018-08-24,9,2,0
2018-08-25,5,4,0
2018-08-26,15,1,0
