,flutter/flutter,necolas/react-native-web,microsoft/reactxp
2020-04-28,17,0,0
2020-04-29,20,0,0
2020-04-30,3,0,0
2020-05-01,11,0,0
2020-05-02,8,0,0
2020-05-03,6,0,0
2020-05-04,12,0,0
2020-05-05,21,0,0
2020-05-06,13,0,0
2020-05-07,7,0,0
2020-05-08,33,0,0
2020-05-09,1,0,0
2020-05-10,5,0,0
2020-05-11,17,0,0
2020-05-12,7,0,0
2020-05-13,12,0,0
2020-05-14,35,0,0
2020-05-15,4,0,0
2020-05-16,10,0,0
2020-05-17,0,0,0
2020-05-18,31,0,0
2020-05-19,5,0,0
2020-05-20,14,0,0
2020-05-21,7,0,0
