,redis/redis,memcached/memcached,tarantool/tarantool
2021-11-15,1,0,4
2021-11-16,6,0,12
2021-11-17,0,0,8
2021-11-18,8,1,4
2021-11-19,1,0,1
2021-11-20,1,0,0
2021-11-21,5,0,1
2021-11-22,3,0,5
2021-11-23,2,3,2
2021-11-24,4,2,21
2021-11-25,1,0,0
2021-11-26,0,0,6
2021-11-27,1,0,0
2021-11-28,5,0,0
2021-11-29,6,0,4
2021-11-30,5,0,3
2021-12-01,5,0,11
2021-12-02,4,1,1
2021-12-03,0,0,3
2021-12-04,1,0,0
2021-12-05,0,0,0
2021-12-06,1,0,5
2021-12-07,3,0,3
2021-12-08,5,0,4
2021-12-09,1,0,4
2021-12-10,1,0,6
2021-12-11,0,0,0
2021-12-12,0,0,0
2021-12-13,2,0,17
2021-12-14,0,0,8
2021-12-15,4,0,0
2021-12-16,4,0,3
2021-12-17,1,0,7
2021-12-18,1,0,0
2021-12-19,3,0,0
2021-12-20,1,0,10
2021-12-21,3,0,2
2021-12-22,6,0,0
2021-12-23,1,0,4
2021-12-24,0,0,2
2021-12-25,0,0,0
2021-12-26,3,0,0
2021-12-27,4,0,1
2021-12-28,4,0,3
2021-12-29,1,0,2
2021-12-30,3,0,8
2021-12-31,2,0,0
2022-01-01,1,0,0
2022-01-02,5,0,0
2022-01-03,4,0,0
2022-01-04,8,0,1
2022-01-05,4,0,0
2022-01-06,3,0,0
2022-01-07,1,0,0
2022-01-08,0,0,0
2022-01-09,3,0,0
2022-01-10,4,0,1
2022-01-11,7,0,0
2022-01-12,1,9,2
2022-01-13,3,1,11
2022-01-14,2,0,6
2022-01-15,3,0,0
2022-01-16,2,0,0
2022-01-17,4,0,1
2022-01-18,5,0,2
2022-01-19,6,0,9
2022-01-20,5,0,3
2022-01-21,0,0,0
2022-01-22,1,0,0
2022-01-23,2,0,0
2022-01-24,7,0,0
2022-01-25,6,5,6
2022-01-26,6,1,4
2022-01-27,1,3,1
2022-01-28,1,0,2
2022-01-29,5,0,1
2022-01-30,9,0,1
2022-01-31,3,0,3
2022-02-01,2,0,1
2022-02-02,1,0,5
2022-02-03,4,0,7
2022-02-04,3,11,4
2022-02-05,3,1,0
2022-02-06,4,0,0
2022-02-07,7,0,2
2022-02-08,8,1,3
2022-02-09,4,7,8
2022-02-10,2,1,1
2022-02-11,4,0,2
2022-02-12,0,5,0
2022-02-13,3,0,0
2022-02-14,4,1,5
2022-02-15,1,0,7
2022-02-16,2,2,0
2022-02-17,2,2,7
2022-02-18,0,1,2
2022-02-19,0,1,0
2022-02-20,2,0,0
2022-02-21,3,1,2
2022-02-22,8,0,3
2022-02-23,4,0,0
2022-02-24,3,0,1
2022-02-25,0,2,1
2022-02-26,0,0,0
2022-02-27,3,0,0
2022-02-28,6,0,1
2022-03-01,3,1,2
2022-03-02,1,1,0
2022-03-03,1,1,11
2022-03-04,0,0,1
2022-03-05,1,0,4
2022-03-06,1,0,0
2022-03-07,3,0,0
2022-03-08,6,1,0
2022-03-09,4,0,2
2022-03-10,4,0,2
2022-03-11,0,0,2
2022-03-12,0,0,0
2022-03-13,3,0,0
2022-03-14,2,0,4
2022-03-15,3,0,2
2022-03-16,5,0,1
2022-03-17,1,0,3
2022-03-18,1,0,8
2022-03-19,0,0,0
2022-03-20,1,0,0
2022-03-21,5,0,3
2022-03-22,5,0,0
2022-03-23,0,0,1
2022-03-24,0,0,25
2022-03-25,1,0,1
2022-03-26,1,0,0
2022-03-27,3,0,0
2022-03-28,4,0,8
2022-03-29,4,0,9
2022-03-30,4,0,1
2022-03-31,3,0,2
2022-04-01,0,0,1
2022-04-02,1,0,0
2022-04-03,1,0,0
2022-04-04,4,0,15
2022-04-05,9,0,2
2022-04-06,1,0,1
2022-04-07,2,0,5
2022-04-08,0,2,1
2022-04-09,0,0,0
2022-04-10,5,0,0
2022-04-11,3,0,9
2022-04-12,2,1,2
2022-04-13,4,0,16
2022-04-14,2,0,3
2022-04-15,0,0,4
2022-04-16,0,0,0
2022-04-17,5,0,0
2022-04-18,2,0,1
2022-04-19,5,0,8
2022-04-20,5,0,4
2022-04-21,0,0,8
2022-04-22,0,0,21
2022-04-23,0,0,0
2022-04-24,5,0,0
2022-04-25,5,0,40
2022-04-26,10,0,1
2022-04-27,2,0,0
2022-04-28,3,0,15
2022-04-29,0,0,2
2022-04-30,0,0,0
2022-05-01,1,0,0
2022-05-02,3,0,0
2022-05-03,2,0,0
2022-05-04,0,0,7
2022-05-05,0,0,1
2022-05-06,0,0,6
2022-05-07,0,0,0
2022-05-08,2,0,0
2022-05-09,5,0,0
2022-05-10,4,0,0
2022-05-11,4,0,4
2022-05-12,2,0,3
2022-05-13,2,0,1
2022-05-14,0,0,0
2022-05-15,2,0,0
2022-05-16,2,0,5
2022-05-17,0,0,2
2022-05-18,1,0,5
2022-05-19,0,0,8
2022-05-20,0,0,19
2022-05-21,0,0,0
2022-05-22,6,0,1
2022-05-23,1,0,0
2022-05-24,0,0,0
2022-05-25,1,0,2
2022-05-26,3,0,2
2022-05-27,2,0,0
2022-05-28,0,0,0
2022-05-29,4,0,0
2022-05-30,1,0,1
2022-05-31,5,0,4
2022-06-01,4,0,6
2022-06-02,3,0,7
2022-06-03,2,0,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,4,0,5
2022-06-07,6,0,1
2022-06-08,1,0,2
2022-06-09,2,0,4
2022-06-10,0,0,0
2022-06-11,1,0,0
2022-06-12,3,0,0
2022-06-13,2,0,0
2022-06-14,5,0,2
2022-06-15,1,0,0
2022-06-16,0,0,8
2022-06-17,0,0,12
2022-06-18,0,0,1
2022-06-19,3,0,0
2022-06-20,1,0,2
2022-06-21,5,0,2
2022-06-22,1,0,12
2022-06-23,5,0,4
2022-06-24,0,0,8
2022-06-25,1,0,0
2022-06-26,5,0,0
2022-06-27,1,0,1
2022-06-28,2,0,1
2022-06-29,1,0,8
2022-06-30,1,0,9
2022-07-01,0,0,8
2022-07-02,0,0,0
2022-07-03,4,0,0
2022-07-04,5,5,9
2022-07-05,1,0,3
2022-07-06,2,0,7
2022-07-07,1,0,4
2022-07-08,0,0,15
2022-07-09,0,0,0
2022-07-10,1,0,0
2022-07-11,5,0,2
2022-07-12,3,0,5
2022-07-13,2,0,0
2022-07-14,0,0,12
2022-07-15,0,0,7
2022-07-16,0,0,0
2022-07-17,5,0,0
2022-07-18,2,0,0
2022-07-19,4,0,11
2022-07-20,3,0,0
2022-07-21,0,0,4
2022-07-22,0,0,5
2022-07-23,0,0,0
2022-07-24,2,0,0
2022-07-25,2,11,2
2022-07-26,4,1,3
2022-07-27,2,0,6
2022-07-28,1,0,0
2022-07-29,0,0,1
2022-07-30,0,0,0
2022-07-31,2,0,0
2022-08-01,2,0,8
2022-08-02,1,0,13
2022-08-03,4,5,11
2022-08-04,4,0,18
2022-08-05,1,0,13
2022-08-06,0,0,0
2022-08-07,2,0,0
2022-08-08,0,0,2
2022-08-09,1,2,6
2022-08-10,1,0,2
2022-08-11,1,1,7
2022-08-12,0,1,1
2022-08-13,0,0,0
2022-08-14,5,0,0
2022-08-15,1,0,5
2022-08-16,1,0,3
2022-08-17,0,2,3
2022-08-18,4,0,1
2022-08-19,0,0,1
2022-08-20,0,0,0
2022-08-21,4,0,0
2022-08-22,18,1,1
2022-08-23,2,1,3
2022-08-24,6,0,4
2022-08-25,0,7,16
2022-08-26,2,11,8
2022-08-27,0,0,0
2022-08-28,4,0,0
2022-08-29,1,0,0
2022-08-30,0,0,4
2022-08-31,0,0,9
2022-09-01,0,0,5
2022-09-02,0,0,5
2022-09-03,0,1,0
2022-09-04,0,0,0
2022-09-05,3,0,8
2022-09-06,3,0,2
2022-09-07,0,0,8
2022-09-08,4,0,0
2022-09-09,0,0,1
2022-09-10,0,0,0
2022-09-11,1,0,0
2022-09-12,0,0,4
2022-09-13,1,0,4
2022-09-14,1,0,21
2022-09-15,1,1,4
2022-09-16,0,0,6
2022-09-17,0,0,0
2022-09-18,1,0,0
2022-09-19,2,0,0
2022-09-20,0,0,0
2022-09-21,1,0,1
2022-09-22,5,0,0
2022-09-23,0,0,3
2022-09-24,0,0,0
2022-09-25,0,0,0
2022-09-26,1,0,2
2022-09-27,1,1,1
2022-09-28,4,0,24
2022-09-29,3,0,15
2022-09-30,1,0,5
2022-10-01,0,0,0
2022-10-02,4,0,0
2022-10-03,2,0,0
2022-10-04,0,0,1
2022-10-05,0,0,1
2022-10-06,2,0,5
2022-10-07,2,0,1
2022-10-08,1,0,0
2022-10-09,5,0,0
2022-10-10,0,0,27
2022-10-11,2,0,2
2022-10-12,1,0,1
2022-10-13,2,2,11
2022-10-14,0,0,10
2022-10-15,1,0,0
2022-10-16,3,0,0
2022-10-17,0,0,1
2022-10-18,5,0,6
2022-10-19,1,0,16
2022-10-20,0,7,2
2022-10-21,0,1,5
2022-10-22,2,0,0
2022-10-23,2,0,0
2022-10-24,2,0,1
2022-10-25,2,0,5
2022-10-26,1,0,1
2022-10-27,2,0,4
2022-10-28,0,0,4
2022-10-29,1,0,0
2022-10-30,0,0,0
2022-10-31,0,0,5
2022-11-01,1,0,4
2022-11-02,4,1,10
2022-11-03,2,0,3
2022-11-04,2,0,0
2022-11-05,0,0,0
2022-11-06,2,0,0
2022-11-07,1,0,8
2022-11-08,1,1,3
2022-11-09,3,0,8
2022-11-10,1,0,4
2022-11-11,0,0,3
2022-11-12,1,0,0
2022-11-13,1,0,0
2022-11-14,2,0,0
2022-11-15,1,0,1
2022-11-16,2,1,0
2022-11-17,1,0,2
2022-11-18,0,0,5
2022-11-19,0,0,0
2022-11-20,2,0,1
2022-11-21,1,0,3
2022-11-22,4,0,1
2022-11-23,1,0,6
2022-11-24,5,0,6
2022-11-25,1,2,1
2022-11-26,3,0,0
2022-11-27,4,0,0
2022-11-28,5,0,3
2022-11-29,1,1,14
2022-11-30,4,0,2
2022-12-01,2,3,0
2022-12-02,0,3,1
2022-12-03,0,0,0
2022-12-04,1,0,0
2022-12-05,2,0,4
2022-12-06,2,0,7
2022-12-07,2,2,8
