,kamranahmedse/developer-roadmap,bregman-arie/devops-exercises,liuchong/awesome-roadmaps
2021-11-28,-0.7979457550718755,3,0
2021-11-29,-0.380037285,2,0
2021-11-30,1.7461099979374999,0,0
2021-12-01,0.6086050773562505,0,0
2021-12-02,13.68608905375,0,0
2021-12-03,3.396297599484374,0,0
2021-12-04,10.714120273714062,1,0
2021-12-05,3.0561258088906236,0,0
2021-12-06,4.426992257248438,0,0
2021-12-07,3.468703595,0,0
2021-12-08,16.544467752718752,0,0
2021-12-09,29.2597986719125,0,0
2021-12-10,13.287173383995311,0,0
2021-12-11,4.682627081918748,0,0
2021-12-12,-1.3657633251171872,0,0
2021-12-13,-2.350301535509372,0,0
2021-12-14,-1.6259498470234335,0,0
2021-12-15,-1.2521696127937463,0,0
2021-12-16,-0.9925141519609346,0,0
2021-12-17,-0.8077435071468728,0,0
2021-12-18,0.43283979331875144,0,0
2021-12-19,-0.3594815552874994,0,0
2021-12-20,0.8602737011453128,1,0
2021-12-21,2.854702294928125,0,0
2021-12-22,-0.3656625000000002,0,0
2021-12-23,-0.17961675000000005,0,0
2021-12-24,-0.11932451249999995,0,0
2021-12-25,-0.08919794624999969,0,0
2021-12-26,6.928919424484375,0,0
2021-12-27,-0.758978586285938,0,0
2021-12-28,-0.3578494017656251,0,0
2021-12-29,-0.23660379158281256,0,0
2021-12-30,-0.1698340576078119,0,0
2021-12-31,-0.11281724999999963,0,0
2022-01-01,4.9078659125,0,0
2022-01-02,0.42234412624999984,0,0
2022-01-03,-0.3919781911093751,0,0
2022-01-04,-0.24629196775156248,1,0
2022-01-05,2.8681875000000003,1,0
2022-01-06,0.5987537500000001,0,0
2022-01-07,0.6830731875,0,0
2022-01-08,0.70086950625,0,0
2022-01-09,2.705577238671875,0,3
2022-01-10,1.5059246743046875,0,0
2022-01-11,3.5518358599640623,0,0
2022-01-12,1.3412776487499998,0,0
2022-01-13,2.4319351022031253,0,0
2022-01-14,1.3473041706265625,0,0
2022-01-15,5.424569600698438,0,0
2022-01-16,-0.9588642793015626,0,0
2022-01-17,1.466839765917188,0,0
2022-01-18,1.4242927563609378,0,0
2022-01-19,0.4370471128656257,0,0
2022-01-20,-0.45603764992499957,0,0
2022-01-21,5.71001288838125,0,0
2022-01-22,20.187046138860936,0,0
2022-01-23,-2.5234276081656266,1,0
2022-01-24,-1.2310212827156255,1,0
2022-01-25,-0.7769610310312498,0,0
2022-01-26,-0.577641027353123,0,0
2022-01-27,3.5562101569125013,0,0
2022-01-28,22.248636707464062,0,0
2022-01-29,1.229622500656249,0,0
2022-01-30,-1.8003276885437507,0,0
2022-01-31,0.9054740967453125,0,0
2022-02-01,2.1462955000000017,0,0
2022-02-02,4.104016700000002,0,0
2022-02-03,2.8964319275000006,0,0
2022-02-04,3.9020986841875005,0,0
2022-02-05,-1.2147623945031247,0,0
2022-02-06,2.2515663646109383,0,0
2022-02-07,-0.7010025901437495,0,0
2022-02-08,0.5789927227187508,0,0
2022-02-09,8.58029707463125,1,0
2022-02-10,-1.1902104701859375,0,0
2022-02-11,-0.6175862459921873,0,0
2022-02-12,5.601914487278125,0,0
2022-02-13,0.12264539857031287,0,0
2022-02-14,0.4430822984531253,0,0
2022-02-15,2.529251633642188,0,0
2022-02-16,1.3931134207343754,0,0
2022-02-17,6.424623330323438,0,0
2022-02-18,1.9331590021765623,0,0
2022-02-19,0.17017156,0,0
2022-02-20,1.3941591631562502,0,0
2022-02-21,0.3820878380187507,0,0
2022-02-22,-0.4708770293015619,0,0
2022-02-23,-0.3224380215828119,0,0
2022-02-24,0.7525831551109381,0,0
2022-02-25,2.7168850025687505,0,0
2022-02-26,-0.48603137804843743,0,0
2022-02-27,-0.23361427562343742,0,0
2022-02-28,-0.14479167481718738,0,0
2022-03-01,-0.10447026808749965,0,0
2022-03-02,-0.06991111503593728,0,0
2022-03-03,2.94942026625,0,0
2022-03-04,-0.3428494017656252,0,0
2022-03-05,-0.1721037915828125,0,0
2022-03-06,-0.1106965576078125,0,0
2022-03-07,-0.06198749999999977,0,0
2022-03-08,-0.048350249999999845,0,0
2022-03-09,-0.03948603749999988,0,0
2022-03-10,-0.0332810887499999,0,0
2022-03-11,-0.028704939046874926,0,0
2022-03-12,5.974803442392187,0,0
2022-03-13,-0.6000000000000005,0,0
2022-03-14,6.7299999999999995,0,0
2022-03-15,-0.8710000000000008,1,0
2022-03-16,3.5610250000000003,0,0
2022-03-17,-0.6962005000000002,0,0
2022-03-18,2.5963904250000005,0,0
2022-03-19,1.4066205725000003,0,0
2022-03-20,-0.5671939655937496,0,0
2022-03-21,1.6319840110343753,0,0
2022-03-22,0.5613862588906253,0,0
2022-03-23,-0.38284200275156205,0,0
2022-03-24,-0.21199278956249976,0,0
2022-03-25,-0.1630255238937496,0,0
2022-03-26,-0.10378833154687467,0,0
2022-03-27,-0.08677395863906225,0,0
2022-03-28,-0.05214711007187485,1,0
2022-03-29,-0.030230322281249916,0,0
2022-03-30,-0.026366018087499932,0,0
2022-03-31,-0.008398852535937478,0,0
2022-04-01,0.0,2,0
2022-04-02,0.0,0,0
2022-04-03,0.0,0,0
2022-04-04,0.0,0,0
2022-04-05,0.0,0,0
2022-04-06,0.0,3,0
2022-04-07,0.0,0,0
2022-04-08,0.0,0,0
2022-04-09,0.0,1,0
2022-04-10,0.0,0,0
2022-04-11,0.0,0,0
2022-04-12,0.0,0,0
2022-04-13,0.0,1,0
2022-04-14,0.0,0,0
2022-04-15,0.0,0,1
2022-04-16,4.0,0,0
2022-04-17,-0.40000000000000036,0,0
2022-04-18,-0.18000000000000013,0,1
2022-04-19,2.886,0,0
2022-04-20,-0.38264999999999993,0,0
2022-04-21,-0.1994669999999999,1,0
2022-04-22,5.86185195,0,0
2022-04-23,-0.7063622850000002,1,0
2022-04-24,-0.35662350206249993,0,0
2022-04-25,-0.24408144764374992,0,0
2022-04-26,-0.15725608874999944,2,0
2022-04-27,-0.12540543904687462,2,0
2022-04-28,-0.1041686326078122,0,0
2022-04-29,-0.0665621774999998,0,0
2022-04-30,-0.05740987809374985,0,0
2022-05-01,-0.05039311521562487,0,0
2022-05-02,0.0,0,0
2022-05-03,0.0,0,0
2022-05-04,0.0,1,0
2022-05-05,0.0,1,0
2022-05-06,0.0,0,0
2022-05-07,0.0,0,0
2022-05-08,0.0,1,0
2022-05-09,0.0,0,0
2022-05-10,0.0,1,0
2022-05-11,2.0,0,0
2022-05-12,-0.20000000000000018,0,0
2022-05-13,0.9099999999999999,0,0
2022-05-14,-0.15700000000000014,0,0
2022-05-15,-0.08632499999999987,0,0
2022-05-16,1.9392665,0,0
2022-05-17,-0.246986525,0,0
2022-05-18,-0.12830414249999994,0,0
2022-05-19,0.91070136146875,2,0
2022-05-20,-0.16921640132187488,0,0
2022-05-21,3.913198186984375,0,0
2022-05-22,-0.46322287753593777,1,0
2022-05-23,-0.22284989249999998,0,0
2022-05-24,1.85074662396875,0,0
2022-05-25,-0.3126097175718748,1,0
2022-05-26,-0.1655606962499998,0,0
2022-05-27,-0.11921636301562485,0,0
2022-05-28,-0.0940986375359372,0,0
2022-05-29,-0.07050675206249979,1,0
2022-05-30,-0.05991943514374984,2,0
2022-05-31,-0.022187392499999934,0,0
2022-06-01,-0.01913662603124995,1,0
2022-06-02,-0.016797705071874957,0,0
2022-06-03,0.0,0,0
2022-06-04,0.0,0,0
2022-06-05,0.0,0,0
2022-06-06,0.0,0,0
2022-06-07,3.0,0,0
2022-06-08,-0.30000000000000027,0,0
2022-06-09,-0.1350000000000001,0,0
2022-06-10,-0.08550000000000006,0,0
2022-06-11,-0.06198749999999977,0,0
2022-06-12,-0.048350249999999845,0,0
2022-06-13,1.9605139625,0,0
2022-06-14,5.76671891125,0,0
2022-06-15,-0.7187049390468755,0,0
2022-06-16,-0.35219655760781265,0,1
2022-06-17,-0.21232499999999999,0,0
2022-06-18,1.8437915000000005,0,0
2022-06-19,-0.3230245249999998,0,0
2022-06-20,0.8088405325000002,0,0
2022-06-21,-0.2426988035312499,0,0
2022-06-22,1.8394674168343754,0,0
2022-06-23,1.688873384784375,0,0
2022-06-24,-0.3369865250000001,0,0
2022-06-25,-0.1853041425,0,0
2022-06-26,-0.1306236385312498,0,0
2022-06-27,-0.10144990132187467,2,0
2022-06-28,1.9318741619843751,1,0
2022-06-29,-0.2569102700359375,0,0
2022-06-30,-0.13132401853124995,1,0
2022-07-01,-0.09293433110312496,4,0
2022-07-02,-0.05812270507187481,0,0
2022-07-03,-0.032233499999999894,0,0
2022-07-04,-0.02632402499999992,0,0
2022-07-05,-0.022187392499999934,0,0
2022-07-06,-0.01913662603124995,0,0
2022-07-07,-0.016797705071874957,0,0
2022-07-08,0.0,2,0
2022-07-09,0.0,0,0
2022-07-10,0.0,1,0
2022-07-11,0.0,0,0
2022-07-12,0.0,0,0
2022-07-13,0.0,0,0
2022-07-14,5.0,0,0
2022-07-15,-0.5000000000000004,0,0
2022-07-16,-0.22500000000000017,0,0
2022-07-17,-0.1425000000000001,0,0
2022-07-18,-0.10331249999999961,0,0
2022-07-19,-0.08058374999999973,0,0
2022-07-20,-0.06581006249999981,0,0
2022-07-21,-0.05546848124999983,1,0
2022-07-22,-0.04784156507812488,0,0
2022-07-23,-0.041994262679687394,0,0
2022-07-24,0.0,0,0
2022-07-25,0.0,0,0
2022-07-26,0.0,0,0
2022-07-27,0.0,0,0
2022-07-28,0.0,0,0
2022-07-29,0.0,0,0
2022-07-30,0.0,1,0
2022-07-31,0.0,0,0
2022-08-01,22.0,2,0
2022-08-02,-1.200000000000002,0,0
2022-08-03,21.91,1,0
2022-08-04,17.028,0,0
2022-08-05,22.481925,0,0
2022-08-06,1.469268999999997,0,0
2022-08-07,-2.120918524999999,0,0
2022-08-08,21.84784142,0,0
2022-08-09,36.00011712990625,0,0
2022-08-10,-6.3642488325562505,1,0
2022-08-11,1.6060806981046882,0,0
2022-08-12,47.09603520386094,0,0
2022-08-13,31.065220620875003,0,0
2022-08-14,0.5600679597218736,0,0
2022-08-15,5.10899686176875,1,0
2022-08-16,22.761505035089066,0,0
2022-08-17,2.3808724560125043,0,0
2022-08-18,11.872740292312503,0,0
2022-08-19,0.8322581474218769,2,0
2022-08-20,-3.2143214709609333,0,0
2022-08-21,-2.2853604663906206,0,0
2022-08-22,8.535951799509379,0,0
2022-08-23,-1.928880349193748,0,0
2022-08-24,15.827741503218752,1,0
2022-08-25,10.468375274904687,3,0
2022-08-26,0.4526226902124999,1,0
2022-08-27,7.287109294346875,0,0
2022-08-28,-1.9303768876796867,0,0
2022-08-29,7.8559657875000015,0,0
2022-08-30,4.252557407343751,0,0
2022-08-31,1.3169997258906263,1,0
2022-09-01,30.682083839984376,0,0
2022-09-02,-0.11087026356406415,3,0
2022-09-03,-2.4322590382640623,0,0
2022-09-04,16.519542512751563,1,0
2022-09-05,-0.877955264073436,0,0
2022-09-06,3.1994509678593768,0,0
2022-09-07,-1.7549320396671864,5,0
2022-09-08,16.859330615737502,1,0
2022-09-09,3.350316140892188,0,0
2022-09-10,3.9105012417875007,0,0
2022-09-11,-1.72318971764375,0,0
2022-09-12,11.926847910718752,0,0
2022-09-13,8.889139047071875,2,0
2022-09-14,6.79276900485,3,0
2022-09-15,4.8171466298203125,0,0
2022-09-16,2.995123613218751,0,0
2022-09-17,2.2165433487593766,1,0
2022-09-18,10.533344094190626,0,0
2022-09-19,3.8484184460343758,0,0
2022-09-20,1.164993409546876,2,0
2022-09-21,29.51835237011094,0,0
2022-09-22,5.959614868714062,0,0
2022-09-23,-2.048560395182813,0,0
2022-09-24,12.098859532170312,0,0
2022-09-25,-1.7112516947421854,0,0
2022-09-26,5.280792368668752,0,0
2022-09-27,12.074670415225002,0,0
2022-09-28,6.396485486987501,0,0
2022-09-29,-2.4217102360921867,0,0
2022-09-30,5.483836319979689,0,0
2022-10-01,4.379377151625001,0,0
2022-10-02,11.427819981495315,0,0
2022-10-03,18.69637295273125,0,0
2022-10-04,79.65021559635468,1,0
2022-10-05,28.85511613377968,0,0
2022-10-06,-8.894645840143754,0,0
2022-10-07,30.003852128426562,0,0
2022-10-08,-5.96958578110937,0,0
2022-10-09,0.6446500904046957,2,0
2022-10-10,2.3287509068312553,0,0
2022-10-11,58.6790975674547,1,0
2022-10-12,62.39955121269844,0,0
2022-10-13,9.288631344407808,2,0
2022-10-14,-7.995555380151565,0,0
2022-10-15,-3.758070214296872,2,0
2022-10-16,-3.6027447080234283,2,0
2022-10-17,28.437950879885946,0,0
2022-10-18,-5.188667945773434,0,0
2022-10-19,-3.123345718434371,0,0
2022-10-20,-2.332663452587497,0,0
2022-10-21,80.54904738412031,2,0
2022-10-22,-3.8870888495046927,0,0
2022-10-23,-1.607590700515626,1,0
2022-10-24,0.7856965637140614,1,0
2022-10-25,-0.6684427034843687,1,0
2022-10-26,-1.1507504286140575,2,0
2022-10-27,-1.5258562749999967,1,0
2022-10-28,0.7915065950000035,1,0
2022-10-29,5.786151813968752,1,0
2022-10-30,-1.6653726117749983,1,0
2022-10-31,62.47048523827344,1,0
2022-11-01,4.3603557853296815,0,0
2022-11-02,-2.1756967324250027,1,0
