,cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe
2018-04-25,0,9,4
2018-04-26,0,6,4
2018-04-27,1,0,0
2018-04-28,0,1,1
2018-04-29,1,0,0
2018-04-30,1,9,0
2018-05-01,2,20,0
2018-05-02,0,0,0
2018-05-03,0,0,0
2018-05-04,0,0,1
2018-05-05,2,0,0
2018-05-06,0,1,0
2018-05-07,0,7,1
2018-05-08,1,16,0
2018-05-09,1,13,0
2018-05-10,3,8,2
2018-05-11,8,8,3
2018-05-12,2,1,0
2018-05-13,0,0,0
2018-05-14,6,2,6
2018-05-15,11,1,7
2018-05-16,4,0,2
2018-05-17,1,1,0
2018-05-18,2,16,1
2018-05-19,3,1,2
