,pytorch/pytorch,google/flax,deepmind/dm-haiku
2023-03-30,62,1,0
2023-03-31,54,0,0
2023-04-01,19,0,0
2023-04-02,9,0,0
2023-04-03,28,5,1
2023-04-04,56,8,0
2023-04-05,70,0,0
2023-04-06,61,2,1
2023-04-07,45,0,0
2023-04-08,22,0,1
2023-04-09,12,0,0
2023-04-10,37,4,0
2023-04-11,55,2,0
2023-04-12,55,0,0
2023-04-13,52,1,1
2023-04-14,66,6,0
2023-04-15,32,0,0
2023-04-16,15,1,0
2023-04-17,54,3,0
2023-04-18,59,4,2
2023-04-19,75,4,1
2023-04-20,47,2,0
2023-04-21,54,0,1
