,tanstack/router,remix-run/react-router,vercel/next.js
2022-01-22,0,2,1
2022-01-23,1,0,3
2022-01-24,0,1,12
2022-01-25,0,0,6
2022-01-26,0,3,17
2022-01-27,0,2,28
2022-01-28,0,0,9
2022-01-29,0,0,1
2022-01-30,0,1,2
2022-01-31,9,4,9
2022-02-01,17,3,17
2022-02-02,2,16,17
2022-02-03,6,0,10
2022-02-04,0,1,18
2022-02-05,0,1,14
2022-02-06,1,0,28
2022-02-07,6,0,14
2022-02-08,0,4,17
2022-02-09,0,0,10
2022-02-10,0,6,16
2022-02-11,7,3,15
2022-02-12,3,1,3
2022-02-13,0,0,6
2022-02-14,0,5,11
2022-02-15,0,4,14
2022-02-16,0,3,20
2022-02-17,0,5,23
2022-02-18,3,4,24
2022-02-19,0,1,4
2022-02-20,0,0,0
2022-02-21,0,2,14
2022-02-22,1,11,7
2022-02-23,0,2,7
2022-02-24,0,0,10
2022-02-25,0,2,17
2022-02-26,0,0,4
2022-02-27,0,4,0
2022-02-28,0,14,8
2022-03-01,2,0,10
2022-03-02,0,0,17
2022-03-03,0,1,4
2022-03-04,2,1,3
2022-03-05,0,0,2
2022-03-06,2,0,2
2022-03-07,6,0,10
2022-03-08,0,0,13
2022-03-09,0,0,7
2022-03-10,0,1,9
2022-03-11,0,1,14
2022-03-12,0,1,3
2022-03-13,0,0,2
2022-03-14,0,5,11
2022-03-15,6,18,9
2022-03-16,2,18,11
2022-03-17,4,9,12
2022-03-18,0,6,15
2022-03-19,0,0,2
2022-03-20,0,1,1
2022-03-21,3,6,12
2022-03-22,0,14,9
2022-03-23,1,7,7
2022-03-24,0,0,11
2022-03-25,0,3,6
2022-03-26,0,1,5
2022-03-27,0,1,3
2022-03-28,0,2,15
2022-03-29,0,2,4
2022-03-30,0,0,21
2022-03-31,0,17,28
2022-04-01,0,6,19
2022-04-02,0,2,0
2022-04-03,0,0,0
2022-04-04,0,4,16
2022-04-05,0,5,19
2022-04-06,1,7,21
2022-04-07,0,10,10
2022-04-08,0,3,11
2022-04-09,0,2,1
2022-04-10,0,0,0
2022-04-11,0,3,22
2022-04-12,0,12,15
2022-04-13,0,7,16
2022-04-14,0,7,13
2022-04-15,0,0,15
2022-04-16,0,0,9
2022-04-17,0,1,1
2022-04-18,0,12,3
2022-04-19,0,4,9
2022-04-20,0,3,6
2022-04-21,1,0,11
2022-04-22,0,1,10
2022-04-23,0,0,1
2022-04-24,0,1,2
2022-04-25,0,0,31
2022-04-26,0,0,16
2022-04-27,0,7,28
2022-04-28,0,1,23
2022-04-29,0,1,9
2022-04-30,0,0,5
2022-05-01,0,0,3
2022-05-02,0,1,12
2022-05-03,0,2,11
2022-05-04,0,1,3
2022-05-05,0,3,9
2022-05-06,0,4,2
2022-05-07,0,2,4
2022-05-08,0,1,2
2022-05-09,0,5,4
2022-05-10,1,2,7
2022-05-11,0,0,7
2022-05-12,0,1,10
2022-05-13,0,7,11
2022-05-14,0,2,3
2022-05-15,0,1,1
2022-05-16,0,1,5
2022-05-17,0,15,29
2022-05-18,0,12,5
2022-05-19,0,12,15
2022-05-20,0,1,5
2022-05-21,0,2,3
2022-05-22,0,1,31
2022-05-23,0,0,27
2022-05-24,0,3,14
2022-05-25,0,0,5
2022-05-26,0,0,12
2022-05-27,0,4,12
2022-05-28,0,0,1
2022-05-29,0,0,20
2022-05-30,0,0,10
2022-05-31,0,4,10
2022-06-01,0,3,9
2022-06-02,0,0,8
2022-06-03,0,0,4
2022-06-04,0,0,2
2022-06-05,0,0,1
2022-06-06,0,2,16
2022-06-07,0,7,7
2022-06-08,0,4,20
2022-06-09,0,10,7
2022-06-10,0,12,9
2022-06-11,0,2,4
2022-06-12,0,0,1
2022-06-13,1,1,17
2022-06-14,0,6,17
2022-06-15,0,3,11
2022-06-16,0,1,16
2022-06-17,0,0,7
2022-06-18,0,1,3
2022-06-19,0,0,7
2022-06-20,0,1,17
2022-06-21,0,11,16
2022-06-22,0,10,13
2022-06-23,0,3,20
2022-06-24,0,1,35
2022-06-25,0,2,5
2022-06-26,0,1,13
2022-06-27,0,2,47
2022-06-28,0,10,29
2022-06-29,0,6,40
2022-06-30,0,5,21
2022-07-01,0,5,3
2022-07-02,0,3,3
2022-07-03,0,0,1
2022-07-04,0,2,6
2022-07-05,0,1,18
2022-07-06,0,3,28
2022-07-07,0,13,13
2022-07-08,0,1,28
2022-07-09,0,0,9
2022-07-10,0,1,2
2022-07-11,0,2,29
2022-07-12,0,2,21
2022-07-13,0,0,101
2022-07-14,0,8,20
2022-07-15,0,3,13
2022-07-16,0,1,4
2022-07-17,0,0,1
2022-07-18,0,0,52
2022-07-19,0,4,28
2022-07-20,0,2,29
2022-07-21,0,0,23
2022-07-22,0,10,19
2022-07-23,0,2,1
2022-07-24,0,0,1
2022-07-25,0,1,12
2022-07-26,0,3,15
2022-07-27,0,2,23
2022-07-28,0,0,17
2022-07-29,0,0,13
2022-07-30,0,6,3
2022-07-31,0,0,8
2022-08-01,0,8,13
2022-08-02,0,4,12
2022-08-03,0,3,15
2022-08-04,0,3,17
2022-08-05,0,1,13
2022-08-06,0,0,3
2022-08-07,0,0,8
2022-08-08,0,3,22
2022-08-09,0,6,17
2022-08-10,1,7,18
2022-08-11,0,1,22
2022-08-12,5,7,21
2022-08-13,1,0,3
2022-08-14,0,0,2
2022-08-15,0,5,10
2022-08-16,0,2,18
2022-08-17,0,6,6
2022-08-18,1,11,7
2022-08-19,0,3,1
2022-08-20,0,0,4
2022-08-21,0,1,7
2022-08-22,0,2,24
2022-08-23,0,1,24
2022-08-24,1,7,23
2022-08-25,0,6,12
2022-08-26,1,1,26
2022-08-27,0,0,2
2022-08-28,0,0,7
2022-08-29,0,2,12
2022-08-30,0,2,15
2022-08-31,0,5,11
2022-09-01,0,0,7
2022-09-02,0,2,5
2022-09-03,0,3,3
2022-09-04,0,0,1
2022-09-05,0,0,12
2022-09-06,0,11,21
2022-09-07,0,1,18
2022-09-08,0,7,41
2022-09-09,0,7,11
2022-09-10,0,1,0
2022-09-11,1,1,1
2022-09-12,0,1,16
2022-09-13,0,11,15
2022-09-14,0,13,15
2022-09-15,0,9,16
2022-09-16,1,2,19
2022-09-17,0,2,0
2022-09-18,0,0,5
2022-09-19,0,5,32
2022-09-20,2,9,15
2022-09-21,1,15,22
2022-09-22,2,3,23
2022-09-23,2,3,15
2022-09-24,0,2,3
2022-09-25,0,0,2
2022-09-26,0,6,16
2022-09-27,0,3,32
2022-09-28,0,2,36
2022-09-29,2,3,31
2022-09-30,0,6,37
2022-10-01,0,1,18
2022-10-02,4,0,8
2022-10-03,0,1,10
2022-10-04,0,1,13
2022-10-05,0,5,10
2022-10-06,0,3,25
2022-10-07,0,1,19
2022-10-08,0,0,2
2022-10-09,0,1,4
2022-10-10,0,0,22
2022-10-11,0,2,31
2022-10-12,2,5,13
2022-10-13,0,2,47
2022-10-14,0,3,14
2022-10-15,0,1,16
2022-10-16,0,0,6
2022-10-17,23,8,24
2022-10-18,1,3,47
2022-10-19,0,2,35
2022-10-20,2,3,39
2022-10-21,6,9,42
2022-10-22,5,0,25
2022-10-23,0,0,14
2022-10-24,0,4,55
2022-10-25,0,9,58
2022-10-26,0,2,17
2022-10-27,12,3,39
2022-10-28,0,5,48
2022-10-29,0,1,16
2022-10-30,0,1,20
2022-10-31,4,1,23
2022-11-01,0,6,8
2022-11-02,0,0,25
2022-11-03,6,1,37
2022-11-04,0,2,16
2022-11-05,0,0,1
2022-11-06,0,0,6
2022-11-07,12,0,19
2022-11-08,5,3,20
2022-11-09,8,1,13
2022-11-10,11,2,24
2022-11-11,22,0,8
2022-11-12,11,0,4
2022-11-13,1,0,0
2022-11-14,3,1,27
2022-11-15,3,5,13
2022-11-16,14,2,22
2022-11-17,2,7,10
2022-11-18,20,7,16
2022-11-19,6,2,4
2022-11-20,0,0,5
2022-11-21,0,4,13
2022-11-22,1,0,20
2022-11-23,0,10,23
2022-11-24,0,1,9
2022-11-25,0,1,12
2022-11-26,4,1,4
2022-11-27,3,1,1
2022-11-28,3,6,11
2022-11-29,0,7,21
2022-11-30,0,20,10
2022-12-01,1,1,24
2022-12-02,0,7,17
2022-12-03,2,0,8
2022-12-04,1,0,7
2022-12-05,32,10,16
2022-12-06,10,12,12
2022-12-07,9,24,23
2022-12-08,18,3,23
2022-12-09,2,4,16
2022-12-10,0,0,5
2022-12-11,0,0,1
2022-12-12,0,3,22
2022-12-13,0,12,24
2022-12-14,0,5,11
2022-12-15,0,3,13
2022-12-16,0,19,13
2022-12-17,1,1,6
2022-12-18,0,1,8
2022-12-19,2,2,29
2022-12-20,0,2,33
2022-12-21,1,8,26
2022-12-22,6,11,16
2022-12-23,0,11,8
2022-12-24,0,0,3
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,1,0,2
2022-12-28,4,0,1
2022-12-29,0,0,0
2022-12-30,0,0,3
2022-12-31,7,0,4
2023-01-01,4,0,2
2023-01-02,2,0,0
2023-01-03,6,1,24
2023-01-04,0,12,11
2023-01-05,3,3,14
2023-01-06,4,3,25
2023-01-07,0,1,2
2023-01-08,0,1,1
2023-01-09,4,7,10
2023-01-10,0,6,17
2023-01-11,0,23,12
2023-01-12,1,2,35
2023-01-13,1,13,15
2023-01-14,0,0,6
2023-01-15,2,0,1
2023-01-16,0,0,13
2023-01-17,1,8,20
2023-01-18,12,20,16
2023-01-19,7,12,22
2023-01-20,0,5,32
2023-01-21,0,5,9
2023-01-22,9,4,2
2023-01-23,16,6,17
2023-01-24,13,17,23
2023-01-25,3,7,18
2023-01-26,5,7,25
2023-01-27,1,1,30
2023-01-28,3,0,23
2023-01-29,2,0,4
2023-01-30,19,5,13
2023-01-31,7,2,17
2023-02-01,10,6,27
2023-02-02,7,13,27
2023-02-03,0,0,16
2023-02-04,6,0,5
2023-02-05,5,0,2
2023-02-06,20,7,20
2023-02-07,18,4,35
2023-02-08,9,2,16
2023-02-09,2,7,20
2023-02-10,7,6,28
2023-02-11,2,0,10
2023-02-12,0,0,3
2023-02-13,2,1,26
