,serverless/serverless,apache/openwhisk,aws/chalice
2019-07-09,3,2,4
2019-07-10,10,2,0
2019-07-11,4,1,0
2019-07-12,17,0,0
2019-07-13,4,0,0
2019-07-14,35,0,1
2019-07-15,20,0,0
2019-07-16,20,0,14
2019-07-17,11,0,2
2019-07-18,41,0,0
2019-07-19,37,0,2
2019-07-20,4,0,1
2019-07-21,0,0,1
2019-07-22,7,1,0
2019-07-23,8,3,0
2019-07-24,2,1,1
2019-07-25,13,2,2
2019-07-26,10,0,0
2019-07-27,0,0,0
2019-07-28,0,0,1
2019-07-29,19,1,1
2019-07-30,6,0,1
2019-07-31,4,0,0
2019-08-01,8,0,5
2019-08-02,4,0,1
2019-08-03,1,0,0
2019-08-04,0,0,1
2019-08-05,11,0,0
2019-08-06,22,1,1
2019-08-07,8,1,6
2019-08-08,19,0,9
2019-08-09,6,1,1
2019-08-10,0,0,0
2019-08-11,0,0,1
2019-08-12,1,1,0
2019-08-13,22,0,0
2019-08-14,17,1,0
2019-08-15,3,1,1
2019-08-16,5,1,0
2019-08-17,1,0,0
2019-08-18,0,0,1
2019-08-19,5,0,0
2019-08-20,24,0,0
2019-08-21,6,1,1
2019-08-22,10,1,2
2019-08-23,15,1,3
2019-08-24,0,0,0
2019-08-25,0,0,2
2019-08-26,12,2,0
2019-08-27,14,1,4
2019-08-28,20,1,1
2019-08-29,16,2,0
2019-08-30,8,2,0
2019-08-31,0,1,0
2019-09-01,1,0,0
2019-09-02,12,0,0
2019-09-03,16,2,0
2019-09-04,2,0,0
2019-09-05,57,2,0
2019-09-06,10,3,0
2019-09-07,1,1,0
2019-09-08,0,0,0
2019-09-09,10,1,0
2019-09-10,5,0,0
2019-09-11,9,1,0
2019-09-12,4,0,1
2019-09-13,12,0,7
2019-09-14,1,0,0
2019-09-15,1,0,0
2019-09-16,16,2,0
2019-09-17,5,1,1
2019-09-18,32,1,1
2019-09-19,18,2,1
2019-09-20,7,3,3
2019-09-21,0,1,0
2019-09-22,0,0,0
2019-09-23,13,2,1
2019-09-24,13,0,1
2019-09-25,42,4,0
2019-09-26,5,1,4
2019-09-27,2,0,0
2019-09-28,2,0,0
2019-09-29,0,0,0
2019-09-30,0,0,0
2019-10-01,0,4,3
2019-10-02,1,1,1
2019-10-03,0,5,2
2019-10-04,6,0,2
2019-10-05,0,0,0
2019-10-06,2,1,0
2019-10-07,8,3,1
2019-10-08,11,1,0
2019-10-09,20,0,0
2019-10-10,9,0,0
2019-10-11,2,0,0
2019-10-12,2,2,0
2019-10-13,9,0,0
2019-10-14,9,3,0
2019-10-15,31,1,7
2019-10-16,20,1,3
2019-10-17,4,3,0
2019-10-18,18,2,0
2019-10-19,2,0,0
2019-10-20,0,0,0
2019-10-21,38,1,0
2019-10-22,27,1,4
2019-10-23,18,1,0
2019-10-24,7,1,0
2019-10-25,19,0,0
2019-10-26,0,0,0
2019-10-27,0,0,0
2019-10-28,10,0,0
2019-10-29,13,0,0
2019-10-30,4,2,0
2019-10-31,17,2,0
2019-11-01,30,2,0
2019-11-02,0,0,0
2019-11-03,0,0,0
2019-11-04,27,0,0
2019-11-05,14,0,0
2019-11-06,8,2,0
2019-11-07,17,1,0
2019-11-08,17,1,0
2019-11-09,0,1,0
2019-11-10,0,0,0
2019-11-11,0,2,0
2019-11-12,5,0,0
2019-11-13,7,1,0
2019-11-14,2,0,0
2019-11-15,8,0,0
2019-11-16,2,0,1
2019-11-17,0,0,0
2019-11-18,9,0,0
2019-11-19,4,2,0
2019-11-20,32,1,0
2019-11-21,14,5,0
2019-11-22,11,5,0
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,7,3,0
2019-11-26,5,2,0
2019-11-27,5,0,0
2019-11-28,5,0,0
2019-11-29,2,1,0
2019-11-30,7,0,0
2019-12-01,0,1,0
2019-12-02,18,0,0
2019-12-03,14,2,1
2019-12-04,13,0,0
2019-12-05,5,0,1
2019-12-06,28,0,0
2019-12-07,0,0,0
2019-12-08,0,0,0
2019-12-09,12,1,0
2019-12-10,0,0,0
2019-12-11,6,1,1
2019-12-12,5,2,0
2019-12-13,2,0,5
2019-12-14,0,1,0
2019-12-15,0,0,0
2019-12-16,1,0,1
2019-12-17,3,8,0
2019-12-18,24,3,0
2019-12-19,2,1,0
2019-12-20,13,2,4
2019-12-21,0,0,0
2019-12-22,0,0,0
2019-12-23,25,0,0
2019-12-24,0,0,0
2019-12-25,0,0,0
2019-12-26,0,0,0
2019-12-27,1,0,0
2019-12-28,0,0,0
2019-12-29,6,0,0
2019-12-30,0,0,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,2,1,0
2020-01-03,12,3,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,1,0,0
2020-01-07,17,0,0
2020-01-08,0,0,0
2020-01-09,14,2,0
2020-01-10,5,3,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,2,0,0
2020-01-14,5,2,0
2020-01-15,1,1,0
2020-01-16,3,2,0
2020-01-17,1,1,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,1,0,0
2020-01-21,3,0,0
2020-01-22,1,0,0
2020-01-23,0,0,0
2020-01-24,2,1,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,1,0
2020-01-28,0,0,0
2020-01-29,8,0,0
2020-01-30,3,0,0
2020-01-31,1,0,0
2020-02-01,0,0,0
2020-02-02,0,1,0
2020-02-03,0,1,0
2020-02-04,1,0,0
2020-02-05,7,0,0
2020-02-06,0,2,0
2020-02-07,0,1,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,2,0,0
2020-02-11,5,3,0
2020-02-12,4,0,0
2020-02-13,0,1,0
2020-02-14,2,1,0
2020-02-15,0,0,1
2020-02-16,0,0,1
2020-02-17,6,1,0
2020-02-18,6,1,0
2020-02-19,6,5,0
2020-02-20,3,0,0
2020-02-21,0,0,0
2020-02-22,0,2,0
2020-02-23,1,0,0
2020-02-24,4,3,3
2020-02-25,4,2,15
2020-02-26,10,2,4
2020-02-27,9,3,0
2020-02-28,3,0,1
2020-02-29,0,1,0
2020-03-01,0,0,0
2020-03-02,1,0,2
2020-03-03,4,3,6
2020-03-04,3,0,1
2020-03-05,1,1,2
2020-03-06,5,1,1
2020-03-07,1,0,0
2020-03-08,1,0,0
2020-03-09,3,0,0
2020-03-10,0,1,0
2020-03-11,1,2,2
2020-03-12,0,2,0
2020-03-13,0,1,0
2020-03-14,0,2,0
2020-03-15,0,0,0
2020-03-16,5,1,0
2020-03-17,3,1,0
2020-03-18,1,0,0
2020-03-19,6,0,5
2020-03-20,0,1,3
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,9
2020-03-24,0,0,2
2020-03-25,0,0,0
2020-03-26,0,0,4
2020-03-27,0,1,0
2020-03-28,0,1,0
2020-03-29,1,1,0
2020-03-30,0,0,0
2020-03-31,0,1,0
2020-04-01,0,0,0
2020-04-02,3,0,0
2020-04-03,3,0,3
2020-04-04,0,0,0
2020-04-05,2,0,0
2020-04-06,4,0,3
2020-04-07,5,1,2
2020-04-08,3,0,2
2020-04-09,0,1,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,1,3
2020-04-15,0,0,1
2020-04-16,2,0,2
2020-04-17,2,0,0
2020-04-18,0,2,0
2020-04-19,0,0,0
2020-04-20,1,0,0
2020-04-21,4,0,3
2020-04-22,2,0,4
2020-04-23,3,0,3
2020-04-24,6,1,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,6,0,0
2020-04-28,2,0,0
2020-04-29,4,1,1
2020-04-30,2,2,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,9,1,0
2020-05-05,3,0,0
2020-05-06,4,1,0
2020-05-07,18,0,0
2020-05-08,2,0,0
2020-05-09,1,0,0
2020-05-10,0,1,0
2020-05-11,16,0,0
2020-05-12,2,2,2
2020-05-13,5,0,0
2020-05-14,3,1,0
2020-05-15,14,0,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,3,0,0
2020-05-19,4,0,0
2020-05-20,6,1,0
2020-05-21,6,0,0
2020-05-22,1,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,9,0,0
2020-05-27,0,0,0
2020-05-28,5,1,1
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,4,2,0
2020-06-02,8,0,0
2020-06-03,9,2,1
2020-06-04,0,1,2
2020-06-05,0,0,2
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,4,0,7
2020-06-09,2,1,4
2020-06-10,1,0,1
2020-06-11,0,1,2
2020-06-12,4,0,4
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,1,0,3
2020-06-16,18,0,2
2020-06-17,3,2,1
2020-06-18,1,0,8
2020-06-19,4,0,1
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,1,0,1
2020-06-23,2,0,3
2020-06-24,10,0,1
2020-06-25,4,0,1
2020-06-26,13,0,1
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,11,0,0
2020-06-30,2,0,5
2020-07-01,9,0,2
2020-07-02,0,0,1
2020-07-03,7,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,2,0,0
2020-07-07,6,0,1
2020-07-08,4,0,0
2020-07-09,5,0,0
2020-07-10,13,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,6,0,0
2020-07-14,0,0,0
2020-07-15,9,0,5
2020-07-16,7,0,0
2020-07-17,3,1,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,2,0,9
2020-07-21,3,1,3
2020-07-22,9,2,0
2020-07-23,7,0,2
2020-07-24,2,0,5
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,18,0,5
2020-07-28,9,0,0
2020-07-29,5,2,6
2020-07-30,2,0,0
