,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2022-03-06,2,0,7
2022-03-07,2,7,16
2022-03-08,10,12,15
2022-03-09,2,3,26
2022-03-10,0,6,14
2022-03-11,0,13,3
2022-03-12,0,5,0
2022-03-13,0,1,0
2022-03-14,0,7,13
2022-03-15,0,12,10
2022-03-16,1,12,12
2022-03-17,0,8,24
2022-03-18,0,3,23
2022-03-19,3,0,9
2022-03-20,0,0,0
2022-03-21,0,5,16
2022-03-22,0,6,31
2022-03-23,0,10,16
2022-03-24,0,6,8
2022-03-25,0,5,24
2022-03-26,0,0,8
2022-03-27,0,0,5
2022-03-28,0,9,15
2022-03-29,0,8,16
2022-03-30,0,10,18
2022-03-31,0,11,22
2022-04-01,1,11,17
2022-04-02,2,9,1
2022-04-03,0,0,0
2022-04-04,0,4,12
2022-04-05,3,7,12
2022-04-06,0,5,25
2022-04-07,3,16,17
2022-04-08,0,3,19
2022-04-09,0,0,12
2022-04-10,0,0,5
2022-04-11,0,9,18
2022-04-12,0,9,26
2022-04-13,0,5,27
2022-04-14,0,8,27
2022-04-15,3,3,24
2022-04-16,0,0,6
2022-04-17,0,2,1
2022-04-18,0,5,15
2022-04-19,1,4,17
2022-04-20,1,14,13
2022-04-21,0,8,29
2022-04-22,0,6,20
2022-04-23,0,2,5
2022-04-24,0,0,6
2022-04-25,2,9,19
2022-04-26,0,13,27
2022-04-27,0,7,31
2022-04-28,0,8,18
2022-04-29,0,1,18
2022-04-30,0,0,16
2022-05-01,0,2,7
2022-05-02,0,1,17
2022-05-03,0,12,19
2022-05-04,0,16,23
2022-05-05,0,3,24
2022-05-06,0,16,27
2022-05-07,0,0,21
2022-05-08,0,1,10
2022-05-09,0,9,18
2022-05-10,0,9,12
2022-05-11,0,6,27
2022-05-12,0,8,23
2022-05-13,0,17,21
2022-05-14,0,1,19
2022-05-15,0,0,7
2022-05-16,0,6,13
2022-05-17,0,8,22
2022-05-18,0,12,23
2022-05-19,0,7,31
2022-05-20,0,12,24
2022-05-21,0,1,12
2022-05-22,0,0,0
2022-05-23,0,21,6
2022-05-24,0,5,35
2022-05-25,1,25,33
2022-05-26,0,8,26
2022-05-27,0,0,31
2022-05-28,0,0,9
2022-05-29,0,0,7
2022-05-30,0,2,9
2022-05-31,0,4,17
2022-06-01,1,6,21
2022-06-02,0,5,25
2022-06-03,0,6,23
2022-06-04,5,0,8
2022-06-05,0,2,4
2022-06-06,0,6,20
2022-06-07,0,6,28
2022-06-08,0,4,21
2022-06-09,0,10,26
2022-06-10,0,13,18
2022-06-11,0,0,7
2022-06-12,0,1,3
2022-06-13,0,2,8
2022-06-14,0,3,6
2022-06-15,4,3,14
2022-06-16,0,10,19
2022-06-17,0,10,19
2022-06-18,0,4,9
2022-06-19,0,0,1
2022-06-20,3,0,5
2022-06-21,0,10,14
2022-06-22,0,4,21
2022-06-23,0,14,6
2022-06-24,0,6,8
2022-06-25,0,1,6
2022-06-26,0,0,3
2022-06-27,0,4,16
2022-06-28,0,12,21
2022-06-29,0,6,22
2022-06-30,0,9,25
2022-07-01,2,2,12
2022-07-02,0,0,11
2022-07-03,0,0,4
2022-07-04,0,2,9
2022-07-05,0,3,7
2022-07-06,1,10,17
2022-07-07,0,3,29
2022-07-08,0,12,19
2022-07-09,56,3,13
2022-07-10,0,0,5
2022-07-11,0,5,17
2022-07-12,0,8,21
2022-07-13,13,13,17
2022-07-14,2,8,19
2022-07-15,2,5,28
2022-07-16,2,2,5
2022-07-17,0,0,1
2022-07-18,1,4,17
2022-07-19,0,9,32
2022-07-20,0,10,26
2022-07-21,5,10,29
2022-07-22,7,7,23
2022-07-23,1,1,11
2022-07-24,0,1,2
2022-07-25,4,3,23
2022-07-26,7,9,26
2022-07-27,1,13,37
2022-07-28,0,7,31
2022-07-29,1,6,31
2022-07-30,1,1,14
2022-07-31,2,0,7
2022-08-01,0,8,16
2022-08-02,5,12,25
2022-08-03,0,5,26
2022-08-04,0,14,21
2022-08-05,0,3,21
2022-08-06,0,2,11
2022-08-07,0,0,7
2022-08-08,3,15,20
2022-08-09,0,8,25
2022-08-10,1,9,30
2022-08-11,7,12,27
2022-08-12,0,3,20
2022-08-13,1,3,8
2022-08-14,0,0,5
2022-08-15,0,14,17
2022-08-16,0,12,19
2022-08-17,0,8,35
2022-08-18,0,12,16
2022-08-19,0,9,22
2022-08-20,4,0,12
2022-08-21,0,0,8
2022-08-22,0,4,22
2022-08-23,0,7,13
2022-08-24,1,7,37
2022-08-25,1,10,24
2022-08-26,0,6,36
2022-08-27,0,5,6
2022-08-28,0,2,9
2022-08-29,0,4,17
2022-08-30,0,12,22
2022-08-31,0,10,13
2022-09-01,0,5,16
2022-09-02,0,1,27
2022-09-03,0,0,9
2022-09-04,0,0,7
2022-09-05,0,6,12
2022-09-06,0,7,17
2022-09-07,1,11,29
2022-09-08,0,20,23
2022-09-09,0,15,33
2022-09-10,0,0,5
2022-09-11,5,0,0
2022-09-12,0,19,24
2022-09-13,1,12,26
2022-09-14,1,12,24
2022-09-15,0,14,27
2022-09-16,0,11,27
2022-09-17,0,1,11
2022-09-18,0,0,3
2022-09-19,0,3,33
2022-09-20,1,19,32
2022-09-21,0,9,31
2022-09-22,0,13,21
2022-09-23,3,9,22
2022-09-24,0,2,7
2022-09-25,0,0,4
2022-09-26,0,14,21
2022-09-27,1,14,25
2022-09-28,0,14,36
2022-09-29,0,17,30
2022-09-30,1,13,13
2022-10-01,0,0,9
2022-10-02,0,4,1
2022-10-03,1,14,19
2022-10-04,2,13,20
2022-10-05,0,14,21
2022-10-06,1,9,31
2022-10-07,1,14,23
2022-10-08,0,2,10
2022-10-09,0,4,2
2022-10-10,0,15,13
2022-10-11,0,12,16
2022-10-12,0,20,12
2022-10-13,0,14,10
2022-10-14,0,34,6
2022-10-15,2,1,0
2022-10-16,0,0,0
2022-10-17,0,17,23
2022-10-18,0,23,13
2022-10-19,0,22,11
2022-10-20,0,13,20
2022-10-21,0,5,12
2022-10-22,0,4,7
2022-10-23,1,3,4
2022-10-24,0,15,25
2022-10-25,0,16,30
2022-10-26,0,17,26
2022-10-27,0,12,18
2022-10-28,0,10,12
2022-10-29,0,4,11
2022-10-30,0,1,4
2022-10-31,0,16,17
2022-11-01,0,11,24
2022-11-02,1,14,27
2022-11-03,0,15,8
2022-11-04,1,12,23
2022-11-05,0,0,9
2022-11-06,0,0,6
2022-11-07,8,16,26
2022-11-08,6,16,8
2022-11-09,1,11,9
2022-11-10,0,15,21
2022-11-11,0,7,14
2022-11-12,5,8,17
2022-11-13,1,0,8
2022-11-14,2,12,14
2022-11-15,0,14,31
2022-11-16,0,11,27
2022-11-17,2,9,30
2022-11-18,5,10,31
2022-11-19,0,0,10
2022-11-20,1,0,4
2022-11-21,0,16,20
2022-11-22,0,6,15
2022-11-23,0,4,13
2022-11-24,11,17,9
2022-11-25,0,16,0
2022-11-26,0,1,0
2022-11-27,0,0,0
2022-11-28,4,14,15
2022-11-29,3,15,30
2022-11-30,10,10,29
2022-12-01,0,14,23
2022-12-02,0,10,19
2022-12-03,0,5,9
2022-12-04,0,1,5
2022-12-05,0,13,16
2022-12-06,0,8,21
2022-12-07,0,12,17
2022-12-08,0,6,7
2022-12-09,0,11,13
2022-12-10,0,9,4
2022-12-11,0,0,7
2022-12-12,0,4,21
2022-12-13,0,11,17
2022-12-14,0,18,17
2022-12-15,0,10,13
2022-12-16,0,11,18
2022-12-17,0,2,11
2022-12-18,1,0,6
2022-12-19,0,6,12
2022-12-20,0,0,18
2022-12-21,2,1,25
2022-12-22,1,2,10
2022-12-23,0,0,12
2022-12-24,0,1,5
2022-12-25,0,0,2
2022-12-26,0,0,5
2022-12-27,0,0,18
2022-12-28,2,6,14
2022-12-29,2,4,14
2022-12-30,0,7,10
2022-12-31,0,1,2
2023-01-01,0,0,3
2023-01-02,0,1,4
2023-01-03,2,10,12
2023-01-04,6,15,10
2023-01-05,0,16,13
2023-01-06,0,6,9
2023-01-07,1,0,0
2023-01-08,0,1,0
2023-01-09,4,4,16
2023-01-10,0,4,20
2023-01-11,0,5,11
2023-01-12,0,6,22
2023-01-13,0,2,22
2023-01-14,1,0,3
2023-01-15,0,0,1
2023-01-16,4,5,2
2023-01-17,0,6,8
2023-01-18,0,11,16
2023-01-19,3,10,25
2023-01-20,2,3,28
2023-01-21,1,0,13
2023-01-22,0,1,4
2023-01-23,5,10,17
2023-01-24,0,4,21
2023-01-25,0,8,30
2023-01-26,0,5,15
2023-01-27,0,6,17
2023-01-28,0,0,8
2023-01-29,0,0,4
2023-01-30,0,13,17
2023-01-31,4,7,28
2023-02-01,0,3,26
2023-02-02,0,10,26
2023-02-03,1,7,26
2023-02-04,0,0,7
2023-02-05,1,1,3
2023-02-06,0,7,9
2023-02-07,0,17,20
2023-02-08,0,10,22
2023-02-09,0,28,20
2023-02-10,0,8,15
2023-02-11,0,1,10
2023-02-12,0,0,6
2023-02-13,0,11,27
2023-02-14,1,10,10
2023-02-15,5,19,36
2023-02-16,1,11,20
2023-02-17,1,9,19
2023-02-18,1,3,11
2023-02-19,1,1,5
2023-02-20,1,12,6
2023-02-21,3,12,18
2023-02-22,0,11,6
2023-02-23,0,6,35
2023-02-24,0,15,13
2023-02-25,0,3,6
2023-02-26,0,2,2
2023-02-27,0,13,20
2023-02-28,0,13,27
2023-03-01,1,18,28
2023-03-02,1,13,21
2023-03-03,3,11,15
2023-03-04,0,1,6
2023-03-05,0,0,1
2023-03-06,0,10,21
2023-03-07,0,9,16
2023-03-08,1,10,26
2023-03-09,0,8,24
2023-03-10,1,5,21
2023-03-11,0,0,5
2023-03-12,0,14,1
2023-03-13,1,3,15
2023-03-14,0,14,29
2023-03-15,0,23,18
2023-03-16,1,12,23
2023-03-17,5,13,22
2023-03-18,0,6,5
2023-03-19,0,1,5
2023-03-20,0,27,18
2023-03-21,0,9,21
2023-03-22,4,9,26
2023-03-23,2,9,31
2023-03-24,0,15,22
2023-03-25,0,1,4
2023-03-26,0,0,2
2023-03-27,2,7,13
2023-03-28,8,19,28
2023-03-29,0,16,18
