,tanstack/router,vercel/next.js,remix-run/react-router
2022-02-19,0,4,1
2022-02-20,0,0,0
2022-02-21,0,14,2
2022-02-22,1,7,11
2022-02-23,0,7,2
2022-02-24,0,10,0
2022-02-25,0,17,2
2022-02-26,0,4,0
2022-02-27,0,0,4
2022-02-28,0,8,14
2022-03-01,2,10,0
2022-03-02,0,17,0
2022-03-03,0,4,1
2022-03-04,2,3,1
2022-03-05,0,2,0
2022-03-06,2,2,0
2022-03-07,6,10,0
2022-03-08,0,13,0
2022-03-09,0,7,0
2022-03-10,0,9,1
2022-03-11,0,14,1
2022-03-12,0,3,1
2022-03-13,0,2,0
2022-03-14,0,11,5
2022-03-15,6,9,18
2022-03-16,2,11,18
2022-03-17,4,12,9
2022-03-18,0,15,6
2022-03-19,0,2,0
2022-03-20,0,1,1
2022-03-21,3,12,6
2022-03-22,0,9,14
2022-03-23,1,7,7
2022-03-24,0,11,0
2022-03-25,0,6,3
2022-03-26,0,5,1
2022-03-27,0,3,1
2022-03-28,0,15,2
2022-03-29,0,4,2
2022-03-30,0,21,0
2022-03-31,0,28,17
2022-04-01,0,19,6
2022-04-02,0,0,2
2022-04-03,0,0,0
2022-04-04,0,16,4
2022-04-05,0,19,5
2022-04-06,1,21,7
2022-04-07,0,10,10
2022-04-08,0,11,3
2022-04-09,0,1,2
2022-04-10,0,0,0
2022-04-11,0,22,3
2022-04-12,0,15,12
2022-04-13,0,16,7
2022-04-14,0,13,7
2022-04-15,0,15,0
2022-04-16,0,9,0
2022-04-17,0,1,1
2022-04-18,0,3,12
2022-04-19,0,9,4
2022-04-20,0,6,3
2022-04-21,1,11,0
2022-04-22,0,10,1
2022-04-23,0,1,0
2022-04-24,0,2,1
2022-04-25,0,31,0
2022-04-26,0,16,0
2022-04-27,0,28,7
2022-04-28,0,23,1
2022-04-29,0,9,1
2022-04-30,0,5,0
2022-05-01,0,3,0
2022-05-02,0,12,1
2022-05-03,0,11,2
2022-05-04,0,3,1
2022-05-05,0,9,3
2022-05-06,0,2,4
2022-05-07,0,4,2
2022-05-08,0,2,1
2022-05-09,0,4,5
2022-05-10,1,7,2
2022-05-11,0,7,0
2022-05-12,0,10,1
2022-05-13,0,11,7
2022-05-14,0,3,2
2022-05-15,0,1,1
2022-05-16,0,5,1
2022-05-17,0,29,15
2022-05-18,0,5,12
2022-05-19,0,15,12
2022-05-20,0,5,1
2022-05-21,0,3,2
2022-05-22,0,31,1
2022-05-23,0,27,0
2022-05-24,0,14,3
2022-05-25,0,5,0
2022-05-26,0,12,0
2022-05-27,0,12,4
2022-05-28,0,1,0
2022-05-29,0,20,0
2022-05-30,0,10,0
2022-05-31,0,10,4
2022-06-01,0,9,3
2022-06-02,0,8,0
2022-06-03,0,4,0
2022-06-04,0,2,0
2022-06-05,0,1,0
2022-06-06,0,16,2
2022-06-07,0,7,7
2022-06-08,0,20,4
2022-06-09,0,7,10
2022-06-10,0,9,12
2022-06-11,0,4,2
2022-06-12,0,1,0
2022-06-13,1,17,1
2022-06-14,0,17,6
2022-06-15,0,11,3
2022-06-16,0,16,1
2022-06-17,0,7,0
2022-06-18,0,3,1
2022-06-19,0,7,0
2022-06-20,0,17,1
2022-06-21,0,16,11
2022-06-22,0,13,10
2022-06-23,0,20,3
2022-06-24,0,35,1
2022-06-25,0,5,2
2022-06-26,0,13,1
2022-06-27,0,47,2
2022-06-28,0,29,10
2022-06-29,0,40,6
2022-06-30,0,21,5
2022-07-01,0,3,5
2022-07-02,0,3,3
2022-07-03,0,1,0
2022-07-04,0,6,2
2022-07-05,0,18,1
2022-07-06,0,28,3
2022-07-07,0,13,13
2022-07-08,0,28,1
2022-07-09,0,9,0
2022-07-10,0,2,1
2022-07-11,0,29,2
2022-07-12,0,21,2
2022-07-13,0,101,0
2022-07-14,0,20,8
2022-07-15,0,13,3
2022-07-16,0,4,1
2022-07-17,0,1,0
2022-07-18,0,52,0
2022-07-19,0,28,4
2022-07-20,0,29,2
2022-07-21,0,23,0
2022-07-22,0,19,10
2022-07-23,0,1,2
2022-07-24,0,1,0
2022-07-25,0,12,1
2022-07-26,0,15,3
2022-07-27,0,23,2
2022-07-28,0,17,0
2022-07-29,0,13,0
2022-07-30,0,3,6
2022-07-31,0,8,0
2022-08-01,0,13,8
2022-08-02,0,12,4
2022-08-03,0,15,3
2022-08-04,0,17,3
2022-08-05,0,13,1
2022-08-06,0,3,0
2022-08-07,0,8,0
2022-08-08,0,22,3
2022-08-09,0,17,6
2022-08-10,1,18,7
2022-08-11,0,22,1
2022-08-12,5,21,7
2022-08-13,1,3,0
2022-08-14,0,2,0
2022-08-15,0,10,5
2022-08-16,0,18,2
2022-08-17,0,6,6
2022-08-18,1,7,11
2022-08-19,0,1,3
2022-08-20,0,4,0
2022-08-21,0,7,1
2022-08-22,0,24,2
2022-08-23,0,24,1
2022-08-24,1,23,7
2022-08-25,0,12,6
2022-08-26,1,26,1
2022-08-27,0,2,0
2022-08-28,0,7,0
2022-08-29,0,12,2
2022-08-30,0,15,2
2022-08-31,0,11,5
2022-09-01,0,7,0
2022-09-02,0,5,2
2022-09-03,0,3,3
2022-09-04,0,1,0
2022-09-05,0,12,0
2022-09-06,0,21,11
2022-09-07,0,18,1
2022-09-08,0,41,7
2022-09-09,0,11,7
2022-09-10,0,0,1
2022-09-11,1,1,1
2022-09-12,0,16,1
2022-09-13,0,15,11
2022-09-14,0,15,13
2022-09-15,0,16,9
2022-09-16,1,19,2
2022-09-17,0,0,2
2022-09-18,0,5,0
2022-09-19,0,32,5
2022-09-20,2,15,9
2022-09-21,1,22,15
2022-09-22,2,23,3
2022-09-23,2,15,3
2022-09-24,0,3,2
2022-09-25,0,2,0
2022-09-26,0,16,6
2022-09-27,0,32,3
2022-09-28,0,36,2
2022-09-29,2,31,3
2022-09-30,0,37,6
2022-10-01,0,18,1
2022-10-02,4,8,0
2022-10-03,0,10,1
2022-10-04,0,13,1
2022-10-05,0,10,5
2022-10-06,0,25,3
2022-10-07,0,19,1
2022-10-08,0,2,0
2022-10-09,0,4,1
2022-10-10,0,22,0
2022-10-11,0,31,2
2022-10-12,2,13,5
2022-10-13,0,47,2
2022-10-14,0,14,3
2022-10-15,0,16,1
2022-10-16,0,6,0
2022-10-17,23,24,8
2022-10-18,1,47,3
2022-10-19,0,35,2
2022-10-20,2,39,3
2022-10-21,6,42,9
2022-10-22,5,25,0
2022-10-23,0,14,0
2022-10-24,0,55,4
2022-10-25,0,58,9
2022-10-26,0,17,2
2022-10-27,12,39,3
2022-10-28,0,48,5
2022-10-29,0,16,1
2022-10-30,0,20,1
2022-10-31,4,23,1
2022-11-01,0,8,6
2022-11-02,0,25,0
2022-11-03,6,37,1
2022-11-04,0,16,2
2022-11-05,0,1,0
2022-11-06,0,6,0
2022-11-07,12,19,0
2022-11-08,5,20,3
2022-11-09,8,13,1
2022-11-10,11,24,2
2022-11-11,22,8,0
2022-11-12,11,4,0
2022-11-13,1,0,0
2022-11-14,3,27,1
2022-11-15,3,13,5
2022-11-16,14,22,2
2022-11-17,2,10,7
2022-11-18,20,16,7
2022-11-19,6,4,2
2022-11-20,0,5,0
2022-11-21,0,13,4
2022-11-22,1,20,0
2022-11-23,0,23,10
2022-11-24,0,9,1
2022-11-25,0,12,1
2022-11-26,4,4,1
2022-11-27,3,1,1
2022-11-28,3,11,6
2022-11-29,0,21,7
2022-11-30,0,10,20
2022-12-01,1,24,1
2022-12-02,0,17,7
2022-12-03,2,8,0
2022-12-04,1,7,0
2022-12-05,32,16,10
2022-12-06,10,12,12
2022-12-07,9,23,24
2022-12-08,18,23,3
2022-12-09,2,16,4
2022-12-10,0,5,0
2022-12-11,0,1,0
2022-12-12,0,22,3
2022-12-13,0,24,12
2022-12-14,0,11,5
2022-12-15,0,13,3
2022-12-16,0,13,19
2022-12-17,1,6,1
2022-12-18,0,8,1
2022-12-19,2,29,2
2022-12-20,0,33,2
2022-12-21,1,26,8
2022-12-22,6,16,11
2022-12-23,0,8,11
2022-12-24,0,3,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,1,2,0
2022-12-28,4,1,0
2022-12-29,0,0,0
2022-12-30,0,3,0
2022-12-31,7,4,0
2023-01-01,4,2,0
2023-01-02,2,0,0
2023-01-03,6,24,1
2023-01-04,0,11,12
2023-01-05,3,14,3
2023-01-06,4,25,3
2023-01-07,0,2,1
2023-01-08,0,1,1
2023-01-09,4,10,7
2023-01-10,0,17,6
2023-01-11,0,12,23
2023-01-12,1,35,2
2023-01-13,1,15,13
2023-01-14,0,6,0
2023-01-15,2,1,0
2023-01-16,0,13,0
2023-01-17,1,20,8
2023-01-18,12,16,20
2023-01-19,7,22,12
2023-01-20,0,32,5
2023-01-21,0,9,5
2023-01-22,9,2,4
2023-01-23,16,17,6
2023-01-24,13,23,17
2023-01-25,3,18,7
2023-01-26,5,25,7
2023-01-27,1,30,1
2023-01-28,3,23,0
2023-01-29,2,4,0
2023-01-30,19,13,5
2023-01-31,7,17,2
2023-02-01,10,27,6
2023-02-02,7,27,13
2023-02-03,0,16,0
2023-02-04,6,5,0
2023-02-05,5,2,0
2023-02-06,20,20,7
2023-02-07,18,35,4
2023-02-08,9,16,2
2023-02-09,2,20,7
2023-02-10,7,28,6
2023-02-11,2,10,0
2023-02-12,0,3,0
2023-02-13,2,26,1
2023-02-14,1,28,5
2023-02-15,2,32,6
2023-02-16,2,27,2
2023-02-17,1,30,2
2023-02-18,0,22,0
2023-02-19,2,4,1
2023-02-20,2,13,2
2023-02-21,1,20,7
2023-02-22,3,51,6
2023-02-23,0,37,5
2023-02-24,0,18,1
2023-02-25,0,14,1
2023-02-26,0,1,0
2023-02-27,1,25,8
2023-02-28,0,24,0
2023-03-01,1,36,6
2023-03-02,0,44,2
2023-03-03,0,10,7
2023-03-04,0,15,2
2023-03-05,0,8,0
2023-03-06,0,13,2
2023-03-07,0,37,3
2023-03-08,0,29,7
2023-03-09,0,20,9
2023-03-10,0,16,11
2023-03-11,0,3,0
2023-03-12,0,1,0
2023-03-13,0,26,6
