,wasmerio/wasmer,bytecodealliance/wasmtime,bytecodealliance/lucet
2022-02-25,2,2,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,1,8,0
2022-03-01,0,3,0
2022-03-02,4,7,0
2022-03-03,6,3,0
2022-03-04,3,3,0
2022-03-05,0,0,0
2022-03-06,0,0,0
2022-03-07,1,9,0
2022-03-08,2,0,0
2022-03-09,0,11,0
2022-03-10,0,4,0
2022-03-11,4,0,0
2022-03-12,0,0,0
2022-03-13,0,0,0
2022-03-14,14,5,0
2022-03-15,4,2,0
2022-03-16,3,3,0
2022-03-17,8,2,0
2022-03-18,4,5,0
2022-03-19,0,1,0
2022-03-20,0,0,0
2022-03-21,0,0,0
2022-03-22,0,1,0
2022-03-23,0,4,1
2022-03-24,0,3,0
2022-03-25,0,1,0
2022-03-26,0,0,0
2022-03-27,2,0,0
2022-03-28,1,1,0
2022-03-29,0,2,0
2022-03-30,0,4,0
2022-03-31,0,6,0
2022-04-01,0,1,0
2022-04-02,3,0,0
2022-04-03,0,0,0
2022-04-04,4,3,0
2022-04-05,4,5,0
2022-04-06,7,0,0
2022-04-07,0,1,0
2022-04-08,0,2,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,0,6,0
2022-04-12,2,2,0
2022-04-13,0,1,0
2022-04-14,0,10,0
2022-04-15,0,1,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,0,6,0
2022-04-19,1,7,0
2022-04-20,1,3,0
2022-04-21,0,1,0
2022-04-22,0,1,0
2022-04-23,0,1,0
2022-04-24,0,0,0
2022-04-25,0,1,0
2022-04-26,0,1,0
2022-04-27,0,4,0
2022-04-28,0,9,0
2022-04-29,0,2,0
2022-04-30,1,0,0
2022-05-01,0,0,0
2022-05-02,0,3,0
2022-05-03,17,3,0
2022-05-04,5,1,0
2022-05-05,1,6,0
2022-05-06,2,0,0
2022-05-07,0,0,0
2022-05-08,0,0,0
2022-05-09,0,4,0
2022-05-10,0,6,0
2022-05-11,3,1,0
2022-05-12,2,7,0
2022-05-13,0,0,0
2022-05-14,1,1,0
2022-05-15,0,0,0
2022-05-16,0,3,0
2022-05-17,0,1,0
2022-05-18,0,4,0
2022-05-19,0,2,0
2022-05-20,0,7,0
2022-05-21,0,0,0
2022-05-22,0,1,0
